tool_temp_c,part_temp_c,vibration_x_mm_s,vibration_y_mm_s,press_force_ton,contact_force_kn,cycle_time_s,energy_kwh,lubricant_flow_lmin,is_anomaly
440.46,857.69,2.35,3.15,213.92,169.82,19.84,26.11,4.72,0
454.8,848.25,2.63,3.21,227.2,182.88,15.0,22.72,4.26,0
415.91,848.13,4.07,4.09,219.94,174.69,19.57,24.64,5.46,0
438.18,861.08,2.8,1.71,227.43,181.8,17.0,25.25,4.52,0
417.56,866.39,2.79,1.4,230.32,173.61,19.38,25.33,4.34,0
434.18,851.84,3.28,3.09,238.82,195.31,16.77,24.42,4.94,0
430.14,836.13,1.98,1.73,241.26,194.16,16.79,23.39,5.27,0
421.3,855.37,2.91,4.41,227.89,178.21,20.27,25.59,4.14,0
433.86,861.22,2.64,2.16,235.81,192.73,15.0,24.54,5.04,0
432.57,849.71,3.23,2.19,233.98,187.91,16.97,21.5,4.85,0
429.7,864.48,2.65,2.88,239.17,184.68,18.7,23.41,4.57,0
431.95,841.62,2.88,2.59,223.73,179.99,15.73,21.47,5.46,0
450.09,838.4,3.27,3.59,229.7,172.3,17.6,23.62,5.21,0
424.0,868.02,2.79,3.64,215.25,177.97,18.05,23.99,5.29,0
423.8019379825577,837.0108641396582,2.7112835456192794,2.9596940246406978,214.9430097969567,176.3842928279618,15.401328513902776,22.885886790557045,4.823286868027649,0
429.92,837.72,4.95,2.1,236.5,191.28,15.29,23.04,4.44,0
435.09,847.95,4.41,2.1,230.31,181.28,20.7,24.74,4.5,0
426.49,814.93,1.98,4.13,219.2,171.04,17.58,22.21,5.46,0
434.69,836.35,1.96,3.41,238.6,187.26,19.54,25.84,4.91,0
428.09,874.17,2.57,2.97,226.59,176.28,18.96,24.71,6.05,0
441.12,859.54,3.17,4.73,222.62,171.9,16.34,23.65,5.1,0
430.69,853.22,2.55,3.46,221.41,175.84,18.73,21.41,4.63,0
437.91,838.35,1.56,3.15,233.36,184.48,18.88,24.7,4.56,0
426.4,849.1,4.25,2.01,233.05,191.91,16.25,22.12,5.16,0
448.77,834.12,1.76,3.51,227.4,181.71,17.77,23.19,6.16,0
407.45,839.43,2.42,3.48,231.44,185.95,18.62,24.21,4.7,0
420.63,847.82,3.09,3.12,233.51,179.77,20.46,28.46,5.18,0
440.56,881.78,2.63,4.62,245.07,189.97,15.68,26.62,4.64,0
424.35,848.91,4.47,3.24,227.25,177.51,16.64,24.01,6.13,0
432.95,849.12,3.91,3.9,201.45,154.85,19.63,27.81,4.54,1
422.85,842.21,3.99,2.69,227.72,181.18,19.46,23.99,5.47,0
425.92,863.86,4.55,3.41,226.92,179.64,20.08,23.74,4.44,0
418.77,861.02,4.1,2.87,234.64,184.99,17.36,22.76,4.79,0
411.13,864.27,8.83,8.54,221.68,185.02,18.64,30.31,6.26,1
426.4,872.73,2.28,2.76,223.99,179.34,16.46,25.52,5.47,0
430.59,839.88,2.85,3.67,238.5,193.77,18.99,24.85,4.34,0
445.95,859.24,3.1,3.09,237.38,191.4,17.65,25.0,5.37,0
426.51,855.59,2.8,4.12,213.19,168.14,17.73,22.75,4.95,0
404.33,842.55,6.45,9.18,229.05,190.74,16.57,26.9,5.25,1
422.81,858.3,3.15,3.73,229.53,186.09,18.22,23.21,4.58,0
419.37,869.87,4.71,2.6,229.87,184.91,18.79,24.05,5.51,0
426.22,848.18,3.31,3.02,209.13,169.48,17.39,23.87,5.12,0
449.27,861.76,6.44,6.85,205.07,167.87,22.01,28.75,4.5,1
419.75,853.95,3.41,2.96,238.06,198.94,17.96,23.02,4.78,0
441.15,835.1,4.04,3.83,240.93,195.12,19.47,24.84,4.98,0
428.04,856.24,3.62,3.3,220.62,174.08,18.34,23.28,4.39,0
444.17,853.67,3.53,3.72,230.42,181.31,17.83,25.54,5.22,0
453.97,835.2,3.27,2.9,219.71,176.21,19.12,25.39,5.33,0
439.96,846.82,3.66,2.48,231.51,178.78,17.32,24.24,5.36,0
439.87,863.38,3.06,3.35,219.7,166.97,20.51,24.9,5.1,0
433.76,872.19,1.33,2.72,229.8,181.61,16.51,22.29,4.82,0
430.24,847.98,2.9,2.99,231.2,185.04,17.86,24.39,4.91,0
417.96,859.34,3.71,3.21,229.27,176.71,16.62,24.62,5.59,0
430.73,837.57,3.15,3.62,225.32,179.12,21.3,23.47,4.56,0
423.04,877.57,3.42,4.45,242.19,197.42,17.17,26.01,4.86,0
423.73,852.24,2.17,3.25,216.23,168.69,17.56,22.83,5.11,0
427.05005233748636,860.0760469317547,3.646236404290393,2.585056515618877,222.72926341722638,176.69664768052084,18.95245979441775,23.35970390386301,4.322257435104731,0
475.66,838.2,2.84,2.3,229.04,189.53,25.63,25.14,5.33,1
447.35,827.46,2.95,4.48,231.99,187.02,18.04,23.59,5.29,0
444.68,846.62,3.69,3.33,250.0,199.1,16.28,23.03,4.58,0
435.81,869.56,3.52,2.54,239.0,186.9,21.36,26.04,4.58,0
431.27,865.0,2.31,3.52,216.36,174.04,17.97,24.57,5.96,0
423.94,825.29,3.41,2.43,231.54,187.26,17.01,21.79,4.47,0
422.18,853.57,2.64,3.03,234.6,172.23,18.09,24.47,5.03,0
440.71,849.77,2.35,2.9,233.3,189.32,20.56,25.42,5.55,0
422.71,853.53,3.63,2.39,218.25,178.56,17.13,23.26,5.1,0
441.93,858.3,3.32,2.54,216.57,174.78,18.72,25.43,4.91,0
428.86,859.25,1.85,2.77,229.21,188.46,17.36,25.07,4.64,0
446.22,821.9,2.78,3.35,222.57,179.13,15.84,20.84,4.89,0
419.82,853.13,3.06,3.46,227.34,186.32,16.5,23.97,5.26,0
422.27,855.2,2.6,2.33,229.76,177.99,16.13,24.74,5.59,0
435.73,825.08,3.54,3.64,223.47,181.65,19.72,24.24,5.1,0
423.67,852.95,3.35,2.5,225.77,184.69,18.97,24.41,5.65,0
429.78,852.9,3.16,1.17,237.39,187.41,18.29,23.23,4.89,0
444.96,834.88,3.05,3.07,242.68,197.3,17.47,22.69,5.11,0
419.7,859.08,4.19,3.09,235.61,189.23,16.76,24.97,4.2,0
447.94,861.81,2.07,3.17,219.05,168.82,16.71,24.07,4.75,0
422.94,845.26,2.96,2.65,236.9,190.54,21.08,24.07,4.74,0
428.35,856.18,1.78,3.31,239.24,197.91,18.02,25.35,5.17,0
447.73,870.18,2.0,3.38,213.84,177.21,17.8,24.93,4.69,0
419.97,839.78,2.19,2.96,224.05,173.16,18.96,24.72,4.37,0
436.3,846.13,2.7,2.86,225.62,184.2,18.33,22.69,5.09,0
432.38,856.01,2.35,2.53,228.23,187.09,16.04,25.93,4.44,0
443.53,848.4,2.85,3.05,228.0,179.16,17.83,24.15,4.85,0
429.74,873.47,3.1,2.04,240.75,200.99,20.26,25.63,5.87,0
431.83,849.09,2.41,1.0,227.59,184.11,16.68,24.86,4.68,0
428.81,836.45,3.22,3.38,226.47,183.05,17.53,25.68,4.89,0
426.39,834.11,3.64,2.52,221.34,186.51,17.92,22.56,6.5,0
423.47,863.99,2.98,2.49,234.81,186.95,19.77,28.69,5.8,0
437.14,853.08,3.36,3.37,231.93,181.49,20.06,25.51,5.06,0
427.72,851.27,3.94,2.25,225.65,177.07,16.87,24.47,5.13,0
425.93,849.11,3.37,3.17,243.48,185.58,18.78,23.86,5.01,0
416.02,837.31,3.67,3.97,233.57,185.79,17.41,23.18,4.86,0
460.0,846.83,2.07,1.5,227.54,175.06,18.34,23.71,5.01,0
437.51613489115385,856.9312989278324,2.1723372002642316,2.8658707077967254,223.42406820276167,170.29773580384088,16.660911669660965,23.142538971812456,5.257665708428064,0
433.18,857.8,1.95,2.67,238.05,197.58,17.33,26.38,4.42,0
430.7,858.86,3.83,1.96,250.0,201.87,20.59,23.65,4.7,0
423.22,871.91,3.68,2.7,243.47,193.53,21.82,24.65,5.46,0
410.26,881.02,3.42,1.75,223.26,186.95,16.71,25.71,5.36,0
432.34,886.32,2.5,3.84,228.65,184.71,18.82,26.23,4.49,0
443.51,854.79,3.38,3.14,235.82,192.05,17.74,24.18,5.24,0
433.06,847.05,3.53,1.98,227.6,184.32,16.22,21.32,4.78,0
432.34,837.55,3.31,2.87,234.21,186.21,16.99,22.51,5.13,0
441.77,872.43,2.29,2.29,240.89,191.63,18.92,25.21,4.45,0
430.25,879.25,4.1,1.96,228.43,191.43,16.77,27.32,5.08,0
413.95,850.78,2.74,4.0,221.38,178.91,16.13,24.39,5.78,0
425.92,869.31,1.76,3.86,220.98,171.64,18.17,25.44,4.08,0
431.53,822.44,3.18,2.61,233.62,182.61,17.73,23.01,4.25,0
427.47,849.55,2.57,2.53,235.78,191.12,17.33,25.68,5.13,0
428.45,842.41,1.7,2.92,221.21,180.1,17.33,25.27,4.68,0
435.89,839.0,2.99,2.59,226.07,178.99,19.06,24.51,4.3,0
426.25,839.88,1.81,2.47,213.79,168.27,15.99,21.39,4.55,0
446.2668183827644,849.9472903561176,2.9088850788983773,0.9662657576569177,235.53759431335138,192.8474035741796,20.023411327057442,26.98291138597636,4.697424414646786,0
441.59,852.75,3.28,2.6,239.32,202.57,16.91,21.36,5.25,0
439.28,854.24,2.91,2.12,229.37,180.46,17.67,26.17,5.03,0
416.78,844.98,4.09,2.73,246.35,196.45,16.27,24.93,4.86,0
413.98,876.89,4.54,3.69,225.0,173.86,18.37,26.07,4.84,0
452.3,849.52,3.38,2.85,239.33,186.64,18.97,23.54,4.73,0
440.59,848.54,3.01,3.18,234.36,188.15,19.87,26.14,4.76,0
439.35,868.65,2.56,3.04,208.9,170.22,17.71,27.41,4.4,0
431.67,839.49,2.61,1.82,222.49,177.82,18.56,21.6,5.36,0
430.42,856.54,4.09,3.9,237.41,191.89,19.74,23.46,4.6,0
424.21,838.66,2.6,3.68,227.48,177.55,18.44,24.3,4.37,0
428.69,858.68,3.26,3.85,225.22,180.96,18.41,25.49,5.49,0
415.43,860.85,2.95,1.46,238.63,186.82,16.08,24.04,3.81,0
433.88,820.61,3.11,4.38,231.36,181.26,16.12,22.27,5.25,0
424.15,830.87,2.66,2.9,222.94,176.57,15.93,21.22,4.95,0
426.1,848.38,2.28,3.32,230.6,177.86,17.86,25.45,5.0,0
445.05,856.6,3.59,3.96,222.93,182.91,17.48,23.92,3.91,0
426.84,856.79,3.22,1.36,242.34,189.29,15.0,25.94,4.99,0
423.52,862.74,2.47,3.65,244.78,193.37,20.23,25.15,5.03,0
428.84,841.77,3.21,3.09,221.31,174.19,15.37,24.29,4.43,0
437.34,832.02,2.48,4.35,232.54,190.23,18.14,24.91,4.37,0
426.96,864.64,2.28,2.97,230.54,186.53,15.76,24.63,4.54,0
437.15,834.11,2.52,1.71,229.03,180.24,21.05,22.11,5.23,0
426.66,869.87,4.94,3.33,214.85,162.52,18.76,24.73,4.78,0
420.01,866.61,3.65,2.94,242.26,192.23,18.85,24.4,4.35,0
415.78,810.37,3.13,3.31,217.94,176.28,16.42,23.99,4.12,0
446.46,867.63,3.61,2.4,225.89,174.23,17.96,24.06,4.85,0
419.38,847.02,3.31,1.67,220.0,172.95,18.26,24.55,4.01,0
438.24,835.29,1.83,2.75,229.08,177.36,18.21,20.61,4.15,0
425.9,828.18,3.59,3.25,241.99,189.02,18.98,23.26,4.05,0
432.51,834.88,3.92,2.5,223.88,175.02,18.47,21.68,4.33,0
451.33,841.56,3.42,3.09,228.37,182.27,17.39,23.15,4.84,0
425.37,861.18,2.43,1.62,226.39,185.08,18.81,25.13,4.55,0
430.74,824.94,2.84,2.31,225.07,178.15,18.38,22.53,4.93,0
431.42811037737505,833.3318257184822,2.4733571474803555,1.934649603269533,241.65339821878197,193.52598525620363,16.11282546568276,20.855509160983214,4.957101459511259,0
401.5,856.25,2.74,3.25,223.44,177.79,18.92,25.35,5.1,0
426.48,865.29,2.2,3.04,233.54,190.66,19.41,25.7,5.15,0
410.21,855.09,3.13,1.82,225.89,177.45,16.45,24.24,4.28,0
424.26,815.88,2.7,2.45,210.85,169.26,16.23,19.65,4.93,0
419.63,877.83,2.42,2.34,231.98,180.04,16.29,24.8,4.74,0
433.63,852.76,2.81,3.09,236.81,196.66,15.85,22.66,5.39,0
419.62,846.57,3.46,3.1,233.74,197.88,16.61,25.66,5.61,0
434.4,848.48,4.01,3.78,231.81,186.29,17.1,24.41,4.21,0
422.67,859.52,3.48,3.3,234.51,184.33,15.82,25.26,4.1,0
433.02,866.99,3.11,2.66,213.44,175.89,17.62,26.52,4.85,0
420.21,856.87,1.63,3.46,231.5,188.87,16.8,26.04,5.47,0
423.27,855.45,4.16,3.18,230.22,185.28,18.35,24.88,5.48,0
439.05,837.5,2.29,2.71,212.11,166.01,18.07,23.69,4.12,0
424.45,851.51,2.63,2.07,226.72,189.73,16.57,22.12,4.55,0
421.43,865.28,3.05,3.25,228.35,186.8,18.19,27.95,6.2,0
434.39,843.23,2.66,3.49,226.0,182.5,16.76,23.78,4.97,0
436.09,818.12,3.1,3.6,222.2,183.18,18.68,22.6,4.4,0
436.05,851.27,3.57,4.27,233.22,192.99,20.16,26.13,3.74,0
430.18,834.97,2.45,3.42,235.49,189.83,15.11,21.18,5.51,0
433.49,865.3,2.97,3.8,224.23,185.05,18.33,25.92,4.44,0
429.39,834.23,3.03,4.08,226.65,183.88,21.66,26.03,4.97,0
439.28,822.33,3.3,2.07,231.49,185.63,17.59,21.24,4.08,0
428.7,839.71,3.17,2.74,238.04,192.33,19.89,23.05,4.32,0
437.48,847.77,2.15,3.41,220.06,185.52,18.71,24.54,5.58,0
440.17,865.49,2.75,3.44,239.53,184.2,18.02,25.34,4.88,0
442.5,862.16,3.09,1.98,216.62,168.88,16.79,25.31,4.89,0
446.28,849.01,3.94,3.21,233.76,187.19,16.72,21.46,6.11,0
429.05,859.49,2.59,3.96,241.71,190.15,20.4,26.17,5.2,0
423.38,821.19,3.13,3.18,226.35,183.13,18.51,23.64,4.6,0
413.29,844.53,3.3,3.57,227.04,176.34,15.65,24.92,5.85,0
429.64,845.73,1.29,2.62,239.89,191.99,18.68,24.09,5.02,0
419.05162662389233,840.3877212964084,3.595750224054403,4.0065571855453745,214.8145241100917,176.8355937282623,20.150637006375625,24.93782883668782,4.7648317013495305,0
421.93,871.92,3.76,2.33,232.17,188.24,19.3,24.4,6.11,0
418.12,848.63,2.52,1.79,224.66,179.49,16.2,26.31,4.94,0
431.79,856.48,3.41,3.65,225.86,177.61,17.66,21.57,5.53,0
429.57,826.16,3.8,3.0,219.99,174.37,17.28,24.49,4.74,0
433.38,830.13,4.11,2.85,236.16,188.47,16.26,23.26,5.77,0
445.49,849.61,3.29,2.61,244.72,190.86,16.36,23.02,4.73,0
423.53,866.98,3.76,2.94,227.19,188.74,18.56,23.62,4.74,0
400.0,875.87,3.18,2.45,233.43,190.62,17.86,24.07,4.6,0
446.2609742970921,840.9161959522395,2.3164549560150625,2.4635541881100456,237.4132650560678,189.00893833619648,17.801821521232316,22.441859548539792,4.647650083711538,0
421.17,841.42,3.6,2.48,231.16,182.77,16.4,23.62,5.39,0
434.75,844.22,2.7,2.88,193.81,153.93,23.13,26.3,4.46,1
431.49,838.55,3.24,3.15,229.33,183.71,18.9,20.45,5.55,0
423.23,838.34,3.56,3.11,242.22,188.72,19.89,23.77,5.15,0
406.28,870.73,2.72,3.2,229.27,179.89,19.15,22.94,5.77,0
424.69,847.55,3.2,4.91,242.34,183.44,17.9,23.72,5.53,0
400.14,839.95,2.56,3.71,226.83,183.55,16.36,22.77,5.18,0
460.0,878.53,2.73,2.42,227.84,186.46,18.25,26.27,4.78,0
434.6,865.25,3.79,2.78,217.81,161.34,20.74,24.01,4.7,0
424.23,850.88,4.24,2.95,233.85,179.23,18.76,22.74,6.08,0
437.06,851.09,4.13,2.97,231.57,196.36,15.0,23.49,5.17,0
432.53,843.42,2.85,3.7,237.28,192.15,17.4,24.0,4.6,0
435.25,838.4,2.78,3.73,227.09,172.13,20.29,25.09,4.42,0
433.66,848.11,2.36,3.04,246.3,195.48,17.65,23.36,5.13,0
425.92,859.83,2.41,2.91,222.15,186.35,18.36,25.41,4.36,0
431.66,844.72,2.77,3.23,248.07,194.18,19.34,24.42,4.74,0
425.73,843.74,3.25,2.97,220.93,183.87,17.91,22.41,5.0,0
442.47,846.97,3.37,3.29,236.12,185.97,17.73,24.12,5.18,0
436.16,840.3,9.3,8.66,232.22,185.28,21.61,22.7,4.7,1
436.73,832.0,2.48,2.53,227.5,183.51,16.76,23.0,4.68,0
424.36,849.29,3.48,1.69,227.98,183.6,17.34,24.38,4.89,0
426.72,869.57,4.12,2.38,218.41,168.74,17.63,24.49,5.24,0
412.84,848.15,3.82,2.16,222.48,175.82,17.9,22.27,4.98,0
444.1,842.33,2.49,3.01,221.67,166.77,17.18,23.75,6.11,0
422.45,840.45,2.3,1.54,231.56,183.46,17.39,23.55,5.03,0
413.15,861.55,3.14,3.42,228.93,187.44,15.77,24.31,4.99,0
440.99,868.22,3.58,1.67,246.21,193.26,19.76,24.92,4.76,0
436.21,857.99,2.19,2.09,219.4,182.44,18.57,27.4,4.86,0
442.15,855.3,2.17,3.02,228.15,185.28,17.34,25.55,4.73,0
429.96,849.24,1.95,2.87,212.73,174.71,18.8,23.11,4.88,0
421.7811345676227,869.9027814829655,2.956586625858935,3.7040279925477892,229.02620343930082,183.52379962025597,18.31554352306317,24.896215871851336,4.219053129860168,0
431.79,830.18,2.12,2.71,227.71,170.82,16.89,24.58,4.19,0
440.09,829.17,2.9,4.19,225.69,170.8,17.45,23.41,5.21,0
418.09,865.44,2.94,2.79,236.93,189.41,22.14,26.22,4.65,0
445.1,840.54,4.31,3.68,246.1,188.38,17.28,21.68,5.77,0
431.77,835.9,3.57,2.49,221.34,175.85,15.54,23.56,5.19,0
423.64,848.47,4.09,2.11,231.81,190.93,19.6,25.24,4.82,0
418.01,834.53,2.77,2.95,217.17,184.74,19.26,24.95,5.13,0
428.4,857.96,3.24,3.46,225.11,181.46,18.96,24.53,4.5,0
427.34,845.87,3.17,2.55,230.63,178.23,18.57,24.57,4.31,0
426.28338221400986,847.704033785361,2.213053949746179,3.7597796908935615,226.1086195925336,186.34247173853367,17.504140056095586,24.97027417002492,4.48490651250995,0
424.8,835.81,3.44,3.67,230.22,183.25,19.47,24.86,4.93,0
428.97,870.6,2.41,3.95,224.97,184.77,18.25,24.22,5.91,0
429.54,846.56,2.29,1.68,229.95,189.65,19.57,24.2,5.46,0
425.13,839.81,2.85,3.15,230.35,182.81,18.89,24.25,4.64,0
414.31,860.32,2.73,2.1,242.3,191.94,18.98,25.66,5.19,0
432.01,845.69,2.95,3.33,224.64,179.47,17.38,23.92,5.24,0
419.28,841.28,2.62,3.47,222.85,173.08,16.85,22.82,4.74,0
438.92,863.96,3.56,3.68,233.63,190.88,20.18,25.65,5.44,0
432.28,861.38,3.43,3.72,227.7,189.47,19.93,24.92,5.65,0
434.89,834.41,2.57,3.6,246.12,192.92,17.71,23.62,4.44,0
434.89,824.02,2.79,2.39,187.32,165.31,18.47,22.62,4.69,1
434.02,853.79,2.09,2.69,232.83,182.93,18.07,23.07,4.64,0
440.49,843.9,2.44,3.09,227.55,178.22,19.11,23.76,5.31,0
432.12,846.96,4.53,5.24,231.18,179.71,18.77,26.32,5.81,0
436.13,862.47,1.48,2.67,234.37,184.45,17.85,24.57,5.11,0
429.07,857.74,2.72,3.57,226.82,180.84,15.39,22.31,5.13,0
434.17,832.34,3.87,2.9,230.15,188.71,15.33,19.73,5.0,0
423.84,804.61,3.86,2.8,222.44,181.23,18.35,22.29,5.01,0
435.09,847.67,1.66,1.91,232.68,188.36,17.97,25.32,5.76,0
412.4,842.34,2.94,2.93,224.53,174.44,19.23,26.88,5.55,0
431.39,879.25,2.93,3.87,237.38,189.62,17.5,25.53,5.47,0
430.73,842.29,2.54,3.23,219.99,182.35,19.09,21.99,5.29,0
433.87,873.35,3.27,2.73,227.4,189.33,18.31,26.43,5.47,0
430.08,838.15,2.69,1.67,224.2,175.26,18.9,23.07,5.2,0
437.97,845.37,2.2,3.11,230.38,185.18,15.0,22.84,4.29,0
427.25,845.27,3.35,3.52,223.76,178.93,17.82,23.91,5.02,0
441.9,867.58,3.19,2.34,223.69,171.49,17.5,26.87,4.16,0
438.48,834.67,3.21,2.85,237.81,192.24,18.16,20.55,6.37,0
434.37,848.92,2.64,3.74,223.38,175.03,17.11,24.89,5.86,0
437.09,834.93,4.31,3.45,224.84,178.64,18.84,23.64,5.32,0
449.73,837.62,2.89,3.68,224.26,180.75,18.28,24.65,4.74,0
437.56,858.22,3.34,2.48,239.27,201.26,16.27,24.61,5.35,0
418.13,853.08,1.92,3.91,236.47,195.9,18.07,23.89,4.31,0
430.05,837.3,3.21,1.8,237.12,187.73,16.41,23.82,4.62,0
440.57,826.22,2.26,3.23,233.0,188.0,15.0,22.06,5.74,0
427.0,847.25,3.51,3.48,210.08,164.63,17.64,22.59,5.38,0
416.86,830.98,2.35,3.8,239.75,184.88,17.39,22.72,4.77,0
423.99,851.1,3.31,3.37,237.76,187.84,15.15,23.16,4.55,0
441.72,856.08,4.82,3.16,229.13,184.59,17.43,24.71,5.43,0
413.36,856.86,3.54,3.65,218.98,182.01,15.35,24.4,4.94,0
418.89,840.06,2.84,2.26,216.43,165.3,20.2,24.42,4.63,0
427.72,854.74,1.0,2.78,237.31,195.2,16.91,23.27,4.5,0
426.03,848.78,3.69,3.1,219.93,170.8,20.65,24.45,4.06,0
477.24,890.16,4.36,2.08,225.41,177.94,23.74,30.03,4.09,1
437.5,847.52,2.42,3.46,222.24,181.05,16.94,23.5,5.72,0
439.09,844.6,4.06,4.46,227.19,184.12,17.86,24.11,5.41,0
425.56,876.71,3.96,2.99,226.54,177.34,16.92,24.72,4.86,0
419.92,843.8,2.88,4.36,236.24,190.8,15.0,25.69,5.07,0
440.73,849.6,3.05,3.39,226.77,177.94,16.47,23.97,5.65,0
435.23,851.62,2.52,2.16,233.09,182.89,17.0,23.69,4.16,0
447.58,862.25,3.07,2.72,215.75,171.23,17.71,26.33,4.69,0
426.34,870.31,3.2,1.91,233.57,191.83,18.81,23.62,4.55,0
449.45,872.49,2.51,3.25,223.98,182.66,21.06,28.46,5.22,0
432.01,845.67,3.65,3.12,234.99,185.79,18.68,25.57,5.05,0
430.99,847.5,4.29,3.04,235.14,194.47,16.66,21.07,4.64,0
432.16,835.16,3.26,3.4,223.07,172.28,18.29,22.83,5.88,0
452.46,828.88,2.82,4.73,238.09,185.84,18.58,23.69,4.94,0
424.53,823.2,3.17,2.0,232.66,187.1,20.47,22.6,4.87,0
413.98,848.44,3.52,3.92,230.24,185.0,17.43,25.67,5.17,0
429.82,855.86,2.78,4.63,234.57,189.61,16.54,22.78,5.33,0
427.28,841.65,2.3,3.15,236.49,185.29,19.34,25.23,4.85,0
421.52,856.38,3.93,4.25,223.27,180.86,17.5,25.63,4.8,0
440.15,874.17,2.92,4.68,236.96,184.84,18.16,25.21,5.38,0
427.16,843.29,2.29,2.89,226.54,186.25,17.34,23.4,5.02,0
417.0259473022403,841.6527455759447,2.579077889810089,2.8367742646611083,239.73760181789535,195.23943495616155,16.77801525687673,23.460231840705028,5.985293680872619,0
431.37,853.84,2.97,2.72,235.2,187.28,16.94,24.73,5.55,0
431.18,877.24,4.18,1.96,237.73,184.54,19.91,27.16,4.69,0
427.55,874.78,2.3,2.89,233.16,178.98,21.27,25.69,5.66,0
434.43,870.04,2.42,2.37,225.08,184.66,15.8,24.58,5.22,0
429.35,841.22,3.18,4.04,226.44,182.6,15.51,22.13,3.69,0
441.9,856.4,2.74,2.29,239.88,189.6,16.97,23.02,4.66,0
430.11,865.14,3.38,1.86,226.88,174.51,17.98,24.43,4.18,0
428.02,871.35,2.93,3.18,236.86,182.58,17.96,25.21,4.28,0
450.4,844.68,3.13,3.68,235.98,187.87,15.0,23.53,5.36,0
402.6,843.5,1.94,3.43,244.71,188.82,18.75,23.7,5.42,0
415.06,842.39,4.14,2.97,237.62,192.18,20.52,23.62,4.74,0
425.58,871.13,2.96,3.69,230.94,186.15,19.92,27.13,4.67,0
423.37,872.94,2.43,2.58,234.23,183.22,18.56,28.42,6.14,0
435.5,864.96,2.53,3.19,230.89,186.94,16.97,25.64,5.87,0
444.72,859.25,3.72,2.19,226.41,177.7,20.0,24.73,5.21,0
416.03,840.85,2.99,2.79,235.35,185.04,20.89,25.21,6.5,0
447.18,861.06,3.29,2.77,227.61,179.68,20.47,23.9,5.77,0
