voltage_v,current_a,wire_feed_speed_mm_s,material_temp_c,ambient_temp_c,travel_speed_mm_s,torch_angle_deg,ctwd_mm,gas_flow_l_min,co2_pct,thickness_mm,steel_type,rust_level,surface_grease,wire_diameter_mm,roller_wear_pct,arc_stability_rms,weld_penetration_pct
21.93,203.27,121.04,22.62,22.72,5.8,60.0,22.8,14.45,20.67,2.57,2,3.0,3.0,0.81,35.79,1.32,54.82
23.12,179.73,84.91,40.17,21.38,6.89,60.0,25.53,13.28,13.6,4.04,0,3.0,3.0,1.24,13.06,0.47,47.88
22.89,174.7,76.82,29.99,25.32,10.46,60.0,19.26,17.1,14.71,2.93,2,0.73,3.0,1.05,4.16,0.96,41.73
25.37,182.95,117.51,31.69,21.86,4.42,60.0,16.24,17.47,14.71,2.1,0,2.7,1.31,0.86,3.67,0.78,67.98
24.64,128.45,71.5,24.57,24.38,7.77,60.0,22.01,21.46,25.0,4.15,1,2.38,3.0,0.97,36.73,0.81,35.34
23.3,178.75,100.83,38.89,25.82,8.44,60.0,18.51,20.11,25.0,2.87,1,3.0,2.7,0.78,0.8,1.0,65.81
15.49,124.05,52.57,46.38,19.94,12.8,60.0,15.15,14.66,16.32,3.13,1,3.0,1.5,0.85,42.18,0.73,7.59
32.88,200.93,87.7,41.99,16.15,5.25,60.0,20.53,20.54,18.36,1.49,0,3.0,0.88,0.84,28.6,0.35,63.86
16.39,118.62,92.88,46.71,26.65,6.35,60.0,12.74,13.98,20.49,3.06,1,3.0,1.54,0.82,8.46,0.92,22.45
27.05,183.13,105.89,34.18,16.92,5.97,60.0,15.6,12.43,15.51,2.42,0,3.0,3.0,0.98,43.08,1.38,55.88
22.06,151.86,68.27,27.51,23.77,5.78,60.0,15.15,16.54,13.14,2.9,1,2.0,3.0,0.81,59.22,1.28,41.3
25.15,125.37,62.92,36.79,23.59,5.45,60.0,20.19,16.97,14.05,1.42,0,3.0,3.0,0.81,21.12,0.91,22.53
20.75,132.71,64.57,50.0,17.81,5.01,60.0,20.55,14.63,19.79,1.8,1,3.0,3.0,0.99,4.88,1.43,20.91
19.59,180.98,79.09,29.83,20.69,6.64,60.0,16.27,19.81,16.82,1.96,2,3.0,2.16,0.8,34.28,0.92,41.89
23.97,155.41,84.97,48.83,25.94,8.76,60.0,11.18,13.37,9.85,1.34,0,3.0,3.0,1.15,0.0,0.76,28.48
31.89,194.78,72.98,33.08,17.96,7.26,60.0,14.64,19.46,18.57,2.49,0,3.0,1.18,1.01,54.77,0.39,51.89
23.04,121.84,91.87,38.63,29.78,7.86,60.0,19.04,22.19,14.24,2.89,1,3.0,3.0,1.02,31.52,0.74,31.53
21.42,138.93,93.79,28.51,24.49,6.21,60.0,15.53,14.73,23.78,3.13,1,3.0,3.0,1.0,19.61,0.94,32.9
18.77,150.02,80.4,30.36,24.98,8.46,60.0,10.7,15.12,14.94,2.94,0,0.96,3.0,0.78,53.9,0.66,41.95
25.11,174.19,74.64,45.26,31.79,9.23,60.0,10.84,14.23,21.26,3.07,0,3.0,3.0,0.78,39.42,0.93,43.53
24.68,164.08,127.79,20.95,25.82,7.69,60.0,19.84,17.98,17.02,3.75,2,3.0,3.0,0.8,12.79,0.37,66.55
25.29,161.23,59.62,42.69,23.85,6.35,60.0,14.62,11.29,20.66,2.58,1,3.0,0.14,0.98,16.61,1.12,47.6
25.96,219.58,81.37,43.95,27.41,5.2,60.0,12.35,13.5,22.21,2.1,1,3.0,3.0,0.78,52.38,0.82,51.36
23.35,143.03,152.12,50.0,21.72,9.21,60.0,18.75,15.18,19.55,1.54,1,1.22,3.0,1.01,17.92,1.06,78.66
21.65,193.03,133.89,48.78,23.04,4.84,60.0,10.56,16.9,16.7,1.46,0,3.0,3.0,0.8,4.27,0.4,63.57
25.68,194.19,88.15,33.73,29.69,8.08,60.0,15.42,16.69,21.91,2.87,0,3.0,3.0,0.79,8.17,1.02,63.14
26.07,167.37,116.04,32.25,18.41,9.77,60.0,17.36,13.68,24.85,4.16,0,3.0,3.0,0.78,29.45,0.47,61.26
27.09,235.96,60.9,49.55,31.46,10.3,60.0,14.03,16.15,15.71,2.45,0,0.67,3.0,0.83,23.45,0.74,72.81
22.38,152.07,110.45,37.02,32.98,8.52,60.0,13.07,20.93,17.08,1.45,1,3.0,3.0,1.19,34.27,1.08,42.96
24.84,149.55,100.64,34.56,28.18,10.98,60.0,13.46,16.1,21.99,3.08,1,2.7,2.16,0.82,38.69,1.05,56.19
24.4,143.1,61.25,42.45,22.96,9.71,60.0,13.67,15.58,13.08,1.9,0,3.0,1.95,0.99,3.88,0.84,32.97
23.86,162.9,86.95,19.71,23.79,8.25,60.0,13.47,16.18,16.85,2.47,0,3.0,3.0,1.01,51.28,0.76,42.03
25.16,123.71,60.17,30.41,22.1,6.99,60.0,15.06,15.57,22.54,2.1,1,3.0,3.0,1.21,6.77,0.31,23.87
29.34,193.92,50.0,19.28,22.04,6.82,60.0,16.81,17.33,25.0,2.69,1,1.28,3.0,1.04,22.5,0.94,32.74
25.35,167.3,78.67,31.93,25.48,4.06,60.0,14.21,15.37,14.47,2.93,0,3.0,3.0,0.98,33.36,0.85,42.79
20.59,167.41,102.61,31.37,26.81,11.14,60.0,13.75,19.24,21.79,4.06,0,3.0,3.0,1.01,4.25,0.8,44.51
25.27,156.62,109.12,40.55,18.83,6.37,60.0,14.97,13.51,12.98,2.91,0,0.41,3.0,0.82,7.88,0.44,61.63
19.1,128.55,86.14,30.98,28.38,8.45,60.0,11.72,16.84,11.85,1.86,1,3.0,3.0,1.2,20.73,0.83,21.45
26.8,201.14,50.0,28.54,25.46,8.3,60.0,13.68,20.09,7.63,1.26,1,3.0,0.74,0.81,43.47,0.9,49.53
25.24,182.4,74.28,39.89,20.01,9.54,60.0,17.31,15.44,9.81,1.83,0,3.0,2.53,1.2,7.53,0.26,43.0
29.77,208.29,105.88,33.28,25.84,10.38,60.0,10.0,16.3,18.57,4.01,2,3.0,0.67,0.82,7.66,1.1,68.67
23.24,200.93,113.93,38.74,20.13,9.92,60.0,14.5,10.83,10.65,2.37,1,3.0,3.0,0.82,29.32,0.96,65.95
26.6,174.97,83.11,28.2,27.38,10.38,60.0,16.91,13.67,21.0,2.41,1,3.0,2.83,0.82,38.17,0.84,54.34
19.91,159.87,74.18,45.44,24.29,10.54,60.0,19.08,19.11,18.84,2.0,1,3.0,3.0,1.02,12.3,1.01,33.99
29.34,187.38,113.76,23.71,22.65,11.39,60.0,14.36,10.0,11.61,2.41,0,3.0,3.0,0.83,17.35,1.6,52.85
25.3,193.77,90.68,50.0,27.15,7.4,60.0,17.24,16.89,10.63,1.84,1,3.0,3.0,1.02,55.09,0.82,51.01
26.32,185.73,96.44,29.97,24.49,10.67,60.0,12.28,19.02,14.63,2.41,1,3.0,3.0,1.01,31.66,0.87,55.94
30.02,146.28,62.01,21.61,29.89,8.17,60.0,21.79,14.38,9.06,2.93,1,0.4,3.0,1.06,41.92,0.36,43.69
28.29,230.81,99.27,37.86,22.46,8.21,60.0,16.05,12.07,14.6,2.95,2,3.0,1.06,0.81,18.85,1.01,79.41
26.38,213.77,117.62,29.47,24.18,9.67,60.0,17.74,11.66,23.83,2.72,1,3.0,3.0,0.95,35.93,0.83,71.3
28.53,202.42,104.54,42.53,34.86,6.52,60.0,15.97,19.51,22.06,3.31,2,3.0,3.0,0.82,43.5,0.37,70.97
19.7,162.17,130.61,22.84,19.46,5.97,60.0,21.56,16.69,13.65,1.41,0,3.0,3.0,0.8,25.65,1.11,57.28
24.77,177.02,109.01,33.94,24.88,6.7,60.0,17.15,13.5,15.55,1.96,1,3.0,3.0,0.97,10.51,0.36,51.88
24.36,171.58,75.73,32.38,24.53,9.26,60.0,13.66,17.22,15.08,2.93,0,0.2,3.0,0.79,16.54,0.81,50.46
19.1,130.17,134.95,35.28,27.05,9.89,60.0,19.44,15.41,12.01,2.38,2,0.32,3.0,1.24,60.34,0.54,53.93
21.91,167.44,60.58,24.85,22.47,8.09,60.0,18.82,17.48,19.63,2.53,1,1.0,1.6,0.79,12.01,0.76,49.33
19.88,155.99,92.81,50.0,31.17,6.67,60.0,16.59,14.98,15.28,1.45,1,3.0,0.84,1.01,8.32,0.63,47.49
19.72,165.9,94.15,36.95,29.23,9.1,60.0,18.15,17.76,22.68,2.59,0,3.0,3.0,0.81,18.48,0.96,38.84
16.72,150.93,95.05,44.89,17.38,7.36,60.0,13.71,11.54,19.9,3.08,0,3.0,2.54,1.01,66.92,0.89,40.49
28.04,197.21,112.32,36.26,35.72,5.26,60.0,11.86,19.45,22.7,1.58,2,0.6,3.0,0.81,5.51,0.41,64.13
27.22,252.06,91.06,28.29,28.29,8.79,60.0,18.96,11.66,13.11,2.92,0,3.0,3.0,0.81,18.41,0.99,67.81
28.56,196.98,50.0,15.48,22.46,7.6,60.0,16.79,13.25,24.17,4.29,2,3.0,3.0,1.05,14.79,0.7,48.45
21.49,148.9,84.23,30.35,12.45,10.08,60.0,16.11,22.01,20.52,2.52,1,3.0,2.84,0.8,32.36,0.32,44.83
23.56,139.56,65.14,40.18,20.89,8.9,60.0,14.27,19.84,17.41,1.97,0,3.0,3.0,1.02,42.33,1.18,33.25
23.7,173.26,108.64,38.94,26.65,6.29,60.0,17.55,16.06,22.97,2.1,0,3.0,3.0,0.99,11.03,0.64,41.44
24.63,183.34,79.4,50.0,17.41,7.72,60.0,18.99,16.4,23.04,3.11,1,2.43,3.0,0.8,18.62,0.8,52.97
26.09,199.75,86.96,25.13,17.06,10.74,60.0,16.42,14.98,13.43,3.91,1,2.21,3.0,1.23,38.41,0.63,72.83
27.42,245.39,81.16,29.5,18.84,5.72,60.0,16.22,18.26,19.42,1.52,0,2.44,3.0,1.19,55.75,0.83,78.17
20.24,127.76,99.89,45.07,21.75,11.71,60.0,20.27,19.24,12.66,1.37,1,3.0,1.78,0.83,3.19,1.0,35.24
28.96,197.3,89.66,31.4,29.18,11.25,60.0,10.54,15.97,17.28,2.48,0,3.0,3.0,0.77,42.12,0.65,58.53
22.08,175.68,78.29,26.18,20.58,6.37,60.0,13.72,10.71,10.86,2.38,0,0.81,1.5,1.18,22.29,1.01,43.93
29.28,205.5,68.44,45.04,26.59,10.87,60.0,18.33,21.06,19.52,3.01,1,2.53,3.0,1.23,22.35,0.58,63.78
29.98,204.06,56.13,23.74,22.33,9.42,60.0,11.42,16.23,20.62,2.77,2,1.85,3.0,0.75,50.66,0.69,54.48
23.78,148.87,71.58,35.75,28.38,8.52,60.0,13.09,13.17,24.62,2.15,2,3.0,3.0,1.21,33.62,0.77,14.34
24.19,170.79,88.38,29.31,23.64,6.22,60.0,16.36,16.96,8.57,2.8,0,3.0,0.69,0.83,27.1,1.52,60.41
25.03,254.82,84.56,24.24,18.82,9.51,60.0,18.29,16.74,14.96,1.93,0,0.0,3.0,0.83,0.0,0.74,80.25
24.16,250.64,142.65,46.69,35.55,7.63,60.0,10.97,12.57,25.0,2.2,1,3.0,3.0,1.0,49.91,1.17,79.94
25.19,171.27,101.52,33.38,35.76,5.88,60.0,15.73,15.16,5.81,2.25,0,3.0,1.2,0.99,29.77,0.92,65.68
24.17,176.07,83.47,19.5,32.4,8.5,60.0,18.46,11.78,17.23,3.01,0,2.06,2.82,0.81,27.29,1.23,56.92
24.58,192.29,84.51,33.54,25.87,7.35,60.0,15.49,19.8,5.0,2.93,1,3.0,3.0,0.83,31.72,0.61,56.64
24.15,211.68,51.41,31.21,39.96,7.57,60.0,16.58,17.17,25.0,2.19,0,3.0,0.0,0.82,47.7,0.42,49.84
22.34,196.0,105.02,18.54,24.55,5.2,60.0,20.01,10.0,18.33,2.16,1,3.0,3.0,1.01,23.77,0.69,56.99
19.93,122.22,96.71,24.01,33.57,7.4,60.0,11.72,10.0,5.0,2.24,0,0.82,1.12,1.01,55.74,0.94,38.38
28.4,207.3,76.81,25.81,26.52,9.78,60.0,17.8,13.9,17.75,3.01,1,3.0,3.0,0.81,37.56,0.23,59.31
27.44,145.12,99.04,29.1,23.16,7.44,60.0,11.19,19.92,25.0,2.51,0,2.67,3.0,1.01,46.68,0.85,49.72
28.09,212.5,54.0,23.99,27.82,7.23,60.0,13.43,22.22,13.64,1.87,1,2.9,3.0,0.84,8.44,0.59,53.44
26.36,189.0,98.91,50.0,26.85,6.82,60.0,16.04,10.0,16.32,3.0,1,3.0,3.0,0.97,35.01,1.3,58.74
24.64,133.59,86.93,35.58,27.64,4.81,60.0,13.27,19.0,19.65,3.02,0,3.0,3.0,1.02,25.24,1.42,41.88
23.91,142.35,75.29,50.0,27.7,6.05,60.0,14.93,18.91,23.86,2.61,0,3.0,3.0,0.81,21.43,0.65,31.39
27.63,232.02,105.38,50.0,31.39,7.71,60.0,17.99,13.97,20.74,3.07,0,0.69,2.09,1.0,30.17,0.51,89.44
22.51,179.96,90.76,46.15,24.4,9.39,60.0,15.69,13.82,23.23,2.12,0,3.0,1.95,0.82,7.43,0.56,50.3
22.13,179.12,87.33,49.08,22.15,5.2,60.0,15.92,19.43,19.59,2.51,1,3.0,3.0,0.8,20.0,0.73,46.36
23.95,179.9,101.37,40.75,25.82,9.01,60.0,15.44,21.07,22.09,2.06,0,3.0,1.31,1.03,30.21,0.53,66.11
23.88,178.59,71.67,37.73,30.45,12.63,60.0,16.87,13.42,15.2,1.96,1,3.0,3.0,1.01,37.19,0.75,40.83
27.88,241.03,74.61,30.32,22.02,9.19,60.0,11.72,14.63,18.75,3.02,0,3.0,3.0,0.96,7.19,0.96,68.62
22.32,194.76,82.17,25.89,28.83,8.92,60.0,12.08,15.54,11.39,1.89,2,3.0,0.0,1.19,4.28,1.14,61.09
26.02,225.96,96.71,50.0,39.77,9.99,60.0,19.22,14.64,17.26,1.99,0,3.0,3.0,1.01,39.47,0.36,67.17
29.3,211.66,90.3,40.13,17.89,6.76,60.0,16.97,15.53,25.0,2.52,0,2.61,1.03,0.69,41.34,0.81,71.28
28.72,182.58,83.16,39.37,28.39,8.22,60.0,13.71,13.96,13.67,1.92,0,3.0,3.0,1.02,59.3,1.11,56.8
22.91,115.04,70.05,31.52,28.11,10.07,60.0,16.48,13.44,10.66,2.86,0,3.0,3.0,0.97,7.72,0.21,21.12
24.93,200.16,80.26,50.0,30.65,8.59,60.0,10.0,17.06,20.63,4.01,1,3.0,3.0,0.8,24.81,0.68,51.78
17.93,166.82,88.96,26.05,32.75,10.27,60.0,14.92,18.08,20.55,1.54,1,3.0,3.0,1.01,3.8,0.77,32.71
29.06,205.79,73.5,33.92,14.47,9.76,60.0,11.64,12.44,17.4,2.27,0,0.09,3.0,0.82,41.79,0.65,76.38
20.96,134.98,102.33,21.43,29.07,11.37,60.0,14.62,17.85,20.87,3.05,0,3.0,1.21,0.98,33.22,0.58,41.71
24.88,169.14,60.67,41.08,30.19,9.1,60.0,13.12,16.7,20.44,3.05,1,2.77,3.0,0.8,8.23,1.13,32.95
21.76,166.72,105.18,20.69,23.12,7.73,60.0,15.55,12.03,14.98,2.96,0,3.0,0.94,0.79,2.36,0.79,48.88
28.06,210.15,74.61,24.42,14.63,7.79,60.0,13.76,17.07,18.44,1.5,1,3.0,3.0,0.83,28.63,0.77,55.83
21.73,134.59,92.53,18.24,16.83,8.72,60.0,11.43,21.34,18.5,1.59,2,3.0,3.0,0.98,41.06,0.92,31.92
23.81,164.11,141.12,48.34,16.07,8.72,60.0,21.43,15.35,17.62,2.0,0,0.0,1.64,0.8,15.21,0.76,66.42
28.49,174.36,73.2,30.76,26.45,5.64,60.0,15.4,15.47,19.42,3.03,0,0.44,3.0,1.0,14.5,0.33,51.81
16.69,102.57,73.58,28.61,31.04,5.85,60.0,13.74,17.98,9.61,3.81,1,3.0,2.45,1.03,38.95,0.94,13.75
24.2,162.35,90.61,41.4,27.38,8.61,60.0,13.53,11.19,21.5,3.1,0,3.0,3.0,0.99,47.98,0.3,47.65
22.47,164.07,74.92,21.19,24.24,5.27,60.0,15.58,18.47,12.39,1.87,1,3.0,3.0,1.02,52.44,0.98,32.29
20.53,161.5,92.05,29.99,29.44,5.39,60.0,18.36,22.58,17.23,3.95,1,2.26,3.0,0.78,31.63,0.46,48.07
