lot_id,api_pct,citrate_buffer_pct,citric_acid_pct,sweetener_pct,preservative_pct,water_ph,prev_lot_ph,mixing_temp_c,mixing_time_min,agitation_rpm,addition_order,final_ph,lot_approved
71,2.48,5.0,1.67,25.0,0.35,7.2,5.08,23.03,50.1,300.0,3,3.41,0
72,1.51,1.98,0.5,18.09,0.96,6.76,5.24,23.77,18.0,300.0,3,5.73,0
73,4.81,3.39,0.5,20.83,0.78,6.86,5.68,33.1,21.94,300.0,1,5.05,1
74,4.7,1.93,0.85,25.0,0.15,6.9,4.3,21.41,5.74,300.0,2,4.1,0
75,2.7,3.48,1.74,21.71,0.22,6.44,5.9,32.1,29.42,281.8,3,3.93,0
76,2.13,2.88,1.02,11.89,0.84,7.43,4.89,21.8,35.99,300.0,3,4.79,1
77,1.21,2.07,0.5,25.0,0.9,6.9,5.29,22.64,10.9,300.0,1,5.31,1
78,1.0,2.46,0.5,25.0,0.63,6.11,5.62,18.55,23.36,300.0,2,5.01,1
79,4.97,2.95,0.64,25.0,0.99,6.47,4.59,21.75,8.64,300.0,3,4.72,1
80,1.59,4.05,0.5,7.23,0.8,6.77,4.05,17.77,57.96,299.6,1,4.75,1
81,1.65,2.31,0.93,25.0,0.88,6.53,4.27,31.69,60.0,300.0,3,4.83,1
82,4.34,3.93,0.61,12.08,0.31,7.33,4.66,27.23,31.01,236.8,1,4.31,0
83,3.09,4.45,0.93,5.0,0.22,6.94,4.31,26.75,5.33,247.7,3,3.13,0
84,2.83,2.02,0.5,25.0,0.22,6.59,4.25,24.21,39.44,168.1,3,4.82,1
85,1.54,1.14,0.5,25.0,0.12,6.23,5.54,21.52,36.33,300.0,2,5.56,0
86,4.13,1.21,0.5,9.77,0.55,6.14,4.86,23.4,26.0,300.0,1,5.36,1
87,2.72,1.3,1.15,25.0,0.34,6.74,5.08,34.03,39.92,300.0,2,5.02,1
88,1.59,1.63,0.86,25.0,0.74,6.07,4.03,31.96,29.66,300.0,2,4.06,0
89,3.51,4.79,0.97,23.65,0.52,6.67,4.5,15.94,42.63,300.0,1,4.19,0
90,2.0,4.37,1.24,25.0,0.31,6.7,5.03,17.53,52.78,300.0,2,3.5,0
91,1.0,3.28,1.56,25.0,0.2,6.18,5.2,23.08,10.16,271.8,2,3.5,0
92,3.2,2.89,0.5,17.91,0.21,6.63,5.03,17.53,23.08,300.0,1,5.42,1
93,1.93,3.66,1.64,25.0,0.65,7.33,5.17,32.87,18.73,300.0,3,3.82,0
94,1.11,3.39,0.87,22.39,0.5,6.6,4.52,30.6,36.77,300.0,3,4.55,1
95,4.3,2.78,0.5,25.0,0.62,6.18,5.9,16.11,8.34,300.0,1,5.46,1
96,3.97,1.56,1.44,9.48,0.41,6.41,5.35,17.06,22.64,300.0,1,4.76,1
97,4.5,3.41,1.47,25.0,0.94,7.06,5.88,30.86,56.35,250.6,2,3.99,0
98,4.9,3.03,1.32,25.0,0.51,6.37,5.13,29.73,41.69,300.0,1,4.4,0
99,4.45,2.85,0.5,5.26,0.4,6.82,4.76,25.61,50.67,300.0,3,5.0,1
100,1.0,4.99,0.7,25.0,0.44,6.37,5.56,17.54,44.57,233.7,3,4.37,0
101,2.76,4.29,1.86,25.0,0.55,6.75,4.8,22.37,17.46,236.9,2,2.85,0
102,1.0,4.32,1.19,7.2,0.54,6.89,4.55,16.86,11.05,300.0,1,3.47,0
103,4.15,1.54,1.07,25.0,0.17,7.11,4.84,16.86,60.0,253.3,2,5.3,1
104,3.09,1.82,0.5,18.67,0.59,6.07,5.69,27.2,35.4,300.0,2,5.32,1
105,1.79,1.87,1.88,11.57,0.79,7.37,5.7,28.87,38.18,300.0,1,4.77,1
106,4.02,4.58,1.74,5.0,0.5,7.29,5.32,27.92,41.92,300.0,1,3.6,0
107,1.26,4.21,0.5,25.0,0.23,6.11,4.52,21.26,53.04,92.1,1,4.6,1
108,5.3,2.11,1.31,21.45,0.63,6.83,5.38,31.89,58.55,300.0,3,4.63,1
109,4.64,2.87,1.38,13.33,0.85,7.31,5.63,22.94,37.87,56.8,1,4.65,1
110,4.91,3.81,0.8,21.47,0.54,6.12,4.37,16.15,18.33,187.9,3,3.73,0
111,2.19,4.8,0.86,13.16,0.48,7.34,4.12,17.22,28.33,300.0,2,3.35,0
112,3.09,3.7,0.8,6.52,0.41,7.11,4.58,20.29,34.52,300.0,2,4.3,0
113,1.76,3.81,0.5,16.02,0.23,6.46,5.53,27.59,23.24,300.0,2,5.07,1
114,3.57,2.31,0.5,5.69,0.22,7.29,5.7,20.53,55.37,162.7,2,5.57,0
115,2.28,1.87,1.27,25.0,0.14,6.04,5.05,33.15,25.23,300.0,2,4.47,0
116,4.76,2.91,0.5,22.17,0.36,6.29,4.84,32.98,33.0,300.0,3,5.23,1
117,1.0,1.46,1.14,25.0,0.91,6.68,5.41,27.03,20.41,300.0,1,5.01,1
118,1.33,2.66,1.17,18.44,0.68,6.14,5.82,31.6,21.91,300.0,2,4.15,0
119,1.0,1.53,1.72,10.52,0.85,6.19,5.44,30.23,52.26,300.0,2,3.9,0
120,1.0,2.24,0.5,8.06,0.3,6.54,5.33,35.0,36.49,300.0,2,5.06,1
121,4.06,3.5,1.29,21.53,0.97,6.48,5.85,25.87,32.31,192.1,2,3.8,0
122,2.32,4.57,1.28,25.0,0.98,7.11,5.41,24.35,15.86,300.0,1,4.16,0
123,2.1,2.23,0.71,12.4,0.3,7.05,4.81,16.16,29.92,300.0,1,5.25,1
124,4.91,2.27,0.61,25.0,0.49,6.78,4.99,21.01,11.43,170.5,3,4.45,1
125,3.31,1.36,0.52,25.0,0.58,6.16,4.85,20.85,46.35,300.0,2,5.21,1
126,1.0,4.96,1.01,24.49,1.0,7.11,5.92,34.29,60.0,300.0,1,4.26,0
127,2.01,2.39,0.93,25.0,0.25,6.28,5.59,16.61,6.53,300.0,1,4.85,1
128,3.7,2.82,1.02,14.6,0.52,6.68,6.01,27.09,59.08,300.0,2,4.48,0
129,4.33,4.94,0.5,7.87,0.94,7.18,5.77,32.14,15.96,300.0,3,4.25,0
130,3.52,3.49,0.5,11.88,1.0,7.11,5.22,21.48,11.71,300.0,3,5.48,1
131,5.24,1.62,1.89,25.0,0.29,6.78,5.3,28.93,44.17,300.0,2,4.48,0
132,1.34,3.88,1.27,20.14,0.13,7.06,5.29,32.52,60.0,180.7,2,3.86,0
133,3.11,3.41,0.74,25.0,0.36,5.89,4.88,32.14,11.52,300.0,3,4.49,0
134,3.1,1.3,0.5,20.23,0.87,7.01,3.88,19.04,23.72,300.0,1,5.6,0
135,3.65,2.53,1.17,25.0,1.0,6.23,5.52,21.21,46.15,216.7,3,4.5,1
136,1.85,1.23,0.77,25.0,0.18,7.12,4.69,23.59,60.0,300.0,1,5.6,0
137,2.24,2.44,0.84,25.0,0.72,6.71,4.81,33.2,36.42,201.1,2,4.24,0
138,1.86,2.26,1.2,7.08,0.72,7.14,4.72,19.48,41.13,300.0,3,4.82,1
139,3.93,5.0,1.9,25.0,0.39,7.19,5.52,26.87,54.76,104.8,1,3.03,0
140,2.86,3.85,1.83,25.0,0.13,6.73,5.78,21.16,39.07,300.0,2,3.4,0
141,3.41,4.14,0.81,22.98,1.0,5.9,4.22,31.92,24.97,300.0,3,4.25,0
142,4.33,2.18,1.4,18.93,0.68,5.79,4.98,26.33,46.31,172.2,1,4.1,0
143,2.28,3.2,1.98,16.81,0.95,6.61,4.78,26.93,48.74,300.0,1,4.0,0
144,2.44,4.02,1.84,15.8,0.32,6.77,5.92,32.14,48.36,300.0,1,3.93,0
145,2.21,2.71,0.52,25.0,0.62,7.02,5.1,32.19,14.74,294.1,1,4.62,1
146,1.0,2.54,0.5,25.0,0.33,6.74,5.05,15.3,38.39,267.5,2,5.33,1
147,3.8,3.07,1.54,20.15,0.16,7.06,4.54,34.97,34.12,166.6,3,3.51,0
148,3.95,3.49,0.5,25.0,0.31,6.15,4.56,30.65,45.7,50.0,2,4.62,1
149,4.23,4.58,0.5,8.31,0.79,7.12,5.33,16.77,38.5,300.0,2,4.44,0
150,4.76,2.51,0.5,25.0,0.77,6.04,5.43,34.8,9.95,300.0,1,5.03,1
151,4.96,1.21,0.5,24.84,0.87,6.82,5.04,21.72,30.66,300.0,1,6.16,0
152,2.03,4.25,1.93,12.39,0.11,7.16,5.67,18.19,5.0,300.0,3,3.52,0
153,2.49,2.47,1.64,25.0,0.88,7.18,4.92,24.48,59.28,153.3,1,4.31,0
154,1.24,1.53,0.5,20.65,0.46,6.55,5.01,19.0,11.81,300.0,1,5.82,0
155,1.34,3.43,0.5,25.0,0.25,7.41,4.75,35.0,37.99,200.1,3,4.49,0
156,1.0,2.09,1.37,14.98,0.14,6.9,4.45,32.56,36.13,300.0,2,4.66,1
157,4.48,4.27,1.77,15.59,0.69,6.6,5.03,25.5,11.04,300.0,2,3.27,0
158,1.67,3.11,1.1,20.25,0.36,6.46,4.42,34.68,15.44,300.0,2,3.6,0
159,1.42,2.9,0.5,25.0,0.99,7.04,5.91,20.63,19.46,116.4,1,5.39,1
160,1.93,1.03,1.12,25.0,0.55,6.44,4.14,31.83,7.68,300.0,2,4.42,1
161,4.66,3.05,0.77,25.0,0.55,6.12,4.66,15.79,19.03,264.6,3,4.33,0
162,2.72,4.31,1.3,24.47,0.43,6.37,4.03,16.75,16.15,300.0,1,3.52,0
163,1.85,4.62,1.93,13.86,0.2,6.17,4.26,28.19,50.42,255.6,3,3.37,0
164,1.0,1.33,1.89,25.0,0.6,6.69,5.42,16.03,20.16,300.0,2,4.62,0
165,1.82,1.83,0.5,25.0,0.47,7.4,5.49,22.44,60.0,259.9,2,6.21,0
166,3.71,1.47,0.82,25.0,0.27,6.83,5.39,24.65,19.85,300.0,3,5.24,1
167,4.65,2.27,1.17,25.0,0.94,6.21,5.94,18.18,56.97,300.0,2,4.47,0
168,1.0,1.62,1.27,25.0,0.61,6.15,5.84,32.26,39.83,300.0,2,4.66,1
169,1.0,1.58,1.81,17.27,0.69,6.35,4.05,23.8,52.45,300.0,3,4.16,0
170,2.81,4.53,0.79,10.35,0.56,6.43,5.5,35.0,50.25,300.0,3,4.22,0
171,4.76,3.23,1.84,25.0,0.77,6.6,4.92,35.0,48.18,300.0,3,3.9,0
172,3.2,2.99,1.51,25.0,0.27,7.24,4.32,24.96,44.4,187.7,1,3.94,0
173,2.22,2.44,1.15,13.14,1.0,6.22,5.08,23.03,56.51,300.0,2,4.5,0
174,1.0,3.92,1.54,14.45,0.83,6.35,4.77,33.65,46.32,300.0,3,3.75,0
175,1.0,2.99,0.5,25.0,0.3,7.06,4.63,21.33,19.87,245.3,1,4.53,1
176,3.63,1.36,0.5,25.0,0.23,6.83,6.1,17.92,33.46,266.7,3,6.11,0
177,4.5,3.89,1.67,13.36,0.23,6.28,4.47,18.62,27.32,300.0,2,3.8,0
178,1.65,2.05,1.46,25.0,0.88,6.96,4.85,35.0,25.31,300.0,2,4.07,0
179,4.95,2.91,1.98,15.89,0.47,7.34,5.87,21.46,52.95,300.0,2,4.24,0
180,2.2,3.83,0.6,25.0,0.24,6.56,4.82,22.42,58.19,300.0,2,4.87,1
181,4.23,0.86,1.7,25.0,0.49,6.24,5.53,31.1,14.58,300.0,3,4.63,0
182,1.17,3.32,1.68,14.45,0.29,6.72,5.47,18.32,45.97,244.4,3,4.12,0
183,1.0,3.76,0.64,25.0,0.9,7.17,5.11,18.86,12.62,196.0,3,4.03,0
184,5.51,4.35,1.09,5.66,0.57,7.11,4.57,25.18,21.32,96.2,2,3.21,0
185,3.58,0.91,1.95,23.52,0.26,6.69,5.62,35.0,47.63,300.0,3,4.69,1
186,3.15,1.91,0.5,14.42,0.72,6.89,5.1,17.95,31.11,300.0,1,5.99,0
187,2.58,2.64,0.5,25.0,0.16,7.22,4.9,26.71,16.49,300.0,1,5.56,0
188,1.74,4.45,0.5,24.9,0.69,6.07,4.12,33.56,53.51,300.0,2,4.34,0
189,1.36,3.98,1.14,19.91,0.74,7.38,4.55,33.34,38.75,221.0,3,3.78,0
190,1.0,4.39,1.64,25.0,0.22,6.91,4.04,23.31,24.3,300.0,3,3.46,0
191,3.61,2.06,1.69,22.53,0.11,7.11,5.44,19.24,10.76,156.5,1,4.2,0
192,3.69,1.69,0.5,25.0,0.31,6.49,5.01,18.55,57.09,300.0,2,5.52,1
193,2.82,3.46,0.5,25.0,0.54,7.41,4.97,22.18,30.42,300.0,1,5.0,1
194,1.0,5.0,1.67,12.55,0.86,6.95,4.22,28.46,18.91,300.0,2,2.99,0
195,3.57,4.86,0.78,21.96,0.64,6.91,4.73,15.72,47.23,300.0,1,4.06,0
196,2.77,4.69,0.5,25.0,0.82,6.71,5.39,23.73,14.54,300.0,3,4.62,1
197,2.01,4.53,0.67,14.51,0.51,7.18,5.13,18.1,19.89,300.0,3,4.11,0
198,1.0,5.0,0.5,17.06,0.22,7.2,4.36,25.5,36.72,120.2,1,3.75,0
199,2.13,3.29,0.5,25.0,0.54,7.33,5.35,17.91,10.59,300.0,3,4.97,1
200,2.17,4.55,1.86,25.0,0.87,7.21,4.5,35.0,36.76,300.0,1,3.0,0
201,2.19,2.81,1.52,25.0,0.39,6.95,4.55,23.42,9.32,300.0,3,3.54,0
202,4.59,3.61,1.66,23.96,0.15,6.75,4.23,27.91,18.47,300.0,3,3.44,0
203,4.5,4.2,0.69,25.0,0.53,7.22,5.17,22.47,53.85,300.0,1,4.9,1
204,5.13,3.74,0.5,25.0,0.62,7.4,4.16,19.24,19.51,50.0,3,3.69,0
205,1.4,3.22,1.08,19.46,0.38,6.5,4.37,33.82,19.03,273.2,2,3.48,0
206,4.8,2.71,1.41,25.0,0.29,6.02,4.33,28.33,26.55,300.0,3,3.97,0
207,3.6,4.29,0.56,20.21,0.27,7.12,5.6,33.53,35.7,300.0,3,3.99,0
208,2.74,1.9,1.35,25.0,0.49,6.51,3.95,33.63,16.18,300.0,1,4.2,0
209,1.16,4.66,1.22,13.89,0.1,6.51,4.91,30.31,44.22,300.0,2,3.87,0
210,1.44,1.33,0.66,25.0,0.15,6.4,5.64,22.01,51.48,211.2,1,5.46,1
211,3.3,3.42,1.39,16.83,0.57,6.59,5.24,32.62,7.67,300.0,1,4.08,0
212,1.74,5.0,1.71,6.14,0.85,6.34,4.23,23.06,8.47,85.8,2,1.98,0
213,4.31,4.35,0.96,5.0,0.51,7.17,4.82,24.34,17.45,155.2,2,3.04,0
214,4.69,3.82,0.7,25.0,0.36,6.0,4.4,16.92,48.58,300.0,3,4.49,0
215,3.37,2.25,1.81,6.31,0.59,6.01,4.34,29.36,5.0,300.0,1,3.53,0
216,2.16,4.44,1.45,24.52,0.69,7.39,4.87,35.0,9.1,300.0,2,3.02,0
217,4.45,2.99,0.76,12.19,0.16,6.83,5.22,17.88,57.22,300.0,2,5.06,1
218,2.89,1.91,1.1,24.82,0.24,6.18,5.39,33.14,51.94,88.4,3,4.69,1
219,1.9,3.28,1.66,20.91,0.53,6.38,5.77,25.51,13.88,196.6,2,3.62,0
220,1.63,2.76,0.54,25.0,0.47,7.01,5.47,22.81,19.65,300.0,1,5.24,1
221,4.72,4.52,1.37,15.01,0.16,7.37,4.4,24.99,14.44,300.0,2,3.42,0
222,3.95,1.66,0.93,18.71,0.87,6.82,4.22,28.4,10.56,300.0,1,4.42,0
223,3.99,0.79,1.96,17.46,0.34,6.72,5.54,34.36,15.38,300.0,1,4.34,0
224,1.0,1.36,0.73,23.94,0.38,6.58,4.6,24.57,26.96,300.0,2,5.02,1
225,1.0,5.0,0.5,21.0,0.53,7.16,3.92,20.77,18.55,300.0,1,4.24,0
226,3.66,4.86,1.33,16.89,0.9,6.23,5.6,25.3,56.53,300.0,1,4.19,0
227,4.72,2.5,0.55,10.75,0.45,6.16,5.47,20.46,55.45,300.0,2,4.99,1
228,4.07,2.77,1.63,25.0,0.73,7.5,5.71,17.6,21.47,239.7,2,4.19,0
229,1.0,4.79,1.64,13.95,0.67,6.86,4.87,32.13,48.2,300.0,1,3.53,0
230,3.64,4.23,1.86,25.0,0.07,7.21,5.66,27.33,12.86,300.0,3,3.63,0
231,4.66,5.0,1.21,21.37,0.41,6.14,4.84,20.18,29.09,300.0,1,3.97,0
232,2.42,1.99,0.5,20.13,0.25,7.05,5.42,28.15,44.51,292.0,2,5.63,0
233,3.47,1.49,0.64,5.96,0.74,6.36,5.9,30.31,8.27,300.0,3,5.02,1
234,1.0,3.17,1.12,14.08,0.1,6.6,6.07,20.97,16.94,252.5,3,4.26,0
235,4.71,2.13,0.75,5.0,0.85,7.13,4.81,31.47,9.06,300.0,3,4.69,1
236,2.5,1.23,1.44,16.14,0.8,5.97,4.4,28.85,41.08,300.0,2,4.19,0
237,3.1,2.28,0.5,14.68,0.59,6.22,4.7,31.41,33.73,300.0,3,4.93,1
238,1.97,2.38,0.5,25.0,0.32,7.27,4.87,15.0,50.85,300.0,2,5.56,0
239,1.0,3.62,1.12,15.74,0.39,7.34,5.81,21.42,50.62,300.0,3,4.46,1
240,3.83,1.49,0.59,25.0,0.33,7.12,4.89,30.25,16.3,126.2,2,4.73,1
241,1.66,0.99,1.7,25.0,0.95,6.82,5.27,20.87,9.65,300.0,2,4.41,0
242,3.41,2.46,1.52,8.76,0.3,5.98,4.83,31.43,16.71,300.0,2,3.63,0
243,2.58,3.92,1.8,25.0,0.21,6.35,5.74,24.53,50.41,300.0,3,3.62,0
244,1.94,4.92,0.5,25.0,0.14,7.03,4.99,26.77,37.22,300.0,2,4.41,0
245,1.84,4.01,0.81,25.0,0.26,6.06,4.43,31.58,16.24,300.0,3,4.44,0
246,3.62,3.13,1.64,25.0,0.68,6.81,5.92,26.09,14.67,300.0,2,3.9,0
247,1.0,4.45,0.92,16.55,0.86,6.44,4.71,24.82,41.68,300.0,1,4.32,0
248,1.56,3.35,0.85,25.0,0.24,6.39,3.98,29.63,29.35,215.1,3,4.0,0
249,4.49,3.74,0.83,9.39,0.93,7.26,5.84,15.86,23.0,233.5,1,4.34,0
250,3.54,1.2,0.5,25.0,0.38,7.46,4.81,18.4,8.39,300.0,3,5.75,0
251,1.35,4.74,1.55,19.61,0.73,6.32,4.88,32.86,49.21,266.2,1,3.64,0
252,3.36,2.84,1.24,24.08,0.3,6.01,5.78,33.12,31.74,300.0,3,4.02,0
253,2.73,2.41,2.2,23.24,0.68,6.38,4.97,30.46,24.84,300.0,1,3.85,0
254,1.0,1.63,1.52,25.0,0.14,7.31,4.56,29.15,35.25,300.0,2,4.87,1
255,2.32,3.35,1.16,6.32,0.31,6.13,4.52,18.34,37.78,300.0,3,4.09,0
256,3.78,2.75,1.65,25.0,0.81,7.22,5.63,17.76,26.0,161.5,2,3.96,0
257,1.0,1.47,1.79,9.37,0.88,6.14,5.29,29.64,47.03,300.0,2,4.09,0
258,5.12,1.72,0.86,22.17,0.85,6.89,5.66,24.32,53.31,300.0,1,5.23,1
259,3.36,3.9,0.85,25.0,0.43,6.75,5.09,18.42,24.81,192.2,3,3.85,0
260,4.3,4.42,0.77,23.29,0.79,6.38,4.59,25.8,21.13,300.0,3,4.04,0
261,2.21,0.94,0.5,23.87,0.43,6.66,3.99,19.56,31.65,300.0,3,5.82,0
262,1.5,3.78,0.62,10.86,0.34,6.45,4.34,24.08,34.62,197.9,2,3.98,0
263,2.92,3.11,0.5,18.53,0.25,7.22,4.88,22.96,39.55,300.0,3,5.11,1
264,3.72,1.84,1.33,10.3,0.4,6.32,5.15,15.19,19.19,300.0,1,4.75,1
265,3.28,4.92,0.5,5.71,0.32,6.72,4.23,31.2,43.72,300.0,3,4.09,0
266,4.74,4.31,1.54,14.49,0.22,7.15,4.26,22.36,18.29,300.0,2,3.39,0
267,3.62,4.67,1.19,19.84,0.79,7.21,5.43,20.17,49.18,273.5,2,3.72,0
268,3.23,1.54,1.19,12.05,0.65,7.41,5.52,28.45,22.26,300.0,2,4.8,1
269,1.42,2.3,1.81,25.0,0.89,7.34,4.25,21.1,27.65,256.1,2,3.36,0
270,4.79,3.74,0.78,18.4,0.82,7.2,5.51,15.45,32.34,300.0,2,4.59,1
271,4.95,3.76,0.79,14.76,0.22,6.55,5.93,26.28,55.2,214.6,3,4.82,1
272,3.13,3.07,0.59,25.0,0.68,6.09,5.9,26.85,18.67,300.0,1,5.15,1
273,2.86,2.02,1.76,25.0,0.69,6.08,4.5,15.32,29.11,300.0,3,3.95,0
274,1.0,3.62,0.7,19.48,0.73,6.32,5.71,33.58,8.23,300.0,3,4.64,1
275,1.0,4.98,0.62,15.38,0.34,6.65,4.86,35.0,51.73,300.0,1,4.4,0
276,4.54,4.92,0.5,25.0,0.42,6.66,5.26,28.35,51.57,243.6,2,4.64,1
