vibration_rms_mm_s,vibration_hf_g,bearing_temp_c,motor_current_a,voltage_v,power_factor_pct,speed_rpm,lube_flow_l_min,lube_pressure_bar,internal_humidity_pct,op_status
3.964,0.563,87.044,22.073,458.377,91.024,1520.786,18.418,2.541,26.559,Alert
5.685,2.158,94.455,27.45,460.445,90.162,1447.944,23.75,2.65,38.31,Critical
2.071,0.502,62.437,14.954,461.48,95.183,1497.227,34.88,3.584,24.681,Normal
1.634,0.148,66.821,16.757,453.168,91.582,1483.822,36.24,4.084,25.641,Normal
2.007,0.327,66.443,19.179,457.822,97.695,1437.897,35.0,4.097,21.663,Normal
4.306,1.158,74.364,21.445,452.184,88.748,1494.086,26.909,2.804,16.922,Alert
3.551,1.091,83.825,31.241,467.57,92.624,1445.378,31.512,3.287,24.488,Alert
2.403,0.372,66.383,15.641,459.619,96.274,1482.584,28.513,3.359,31.13,Normal
2.878,0.923,74.928,25.291,461.558,87.257,1453.135,26.912,3.014,36.797,Alert
1.734,0.452,61.848,13.007,457.012,96.658,1515.036,31.494,3.801,22.86,Normal
1.866,0.326,60.578,17.088,456.691,98.284,1546.77,31.597,3.729,21.671,Normal
1.886,0.277,65.124,14.028,467.851,95.991,1527.309,34.208,3.339,25.122,Normal
1.638,0.252,70.83,15.939,455.881,94.76,1448.509,40.588,3.647,28.792,Normal
3.965,0.822,82.19,20.048,457.02,92.15,1443.235,29.657,2.294,31.829,Alert
1.679,0.323,63.31,14.455,459.382,97.639,1449.15,39.281,3.349,35.804,Normal
4.048,1.07,74.299,23.519,457.718,88.926,1505.806,24.031,3.038,33.073,Alert
2.7,0.238,64.828,14.454,462.429,99.016,1488.535,34.659,4.067,23.744,Normal
2.313,0.466,72.54,19.911,461.634,96.859,1454.207,36.204,3.526,23.695,Normal
1.635,0.312,69.328,16.308,465.666,94.737,1532.041,34.272,3.365,29.861,Normal
2.238,0.237,58.316,17.854,457.302,93.346,1441.227,35.462,4.193,23.113,Normal
0.798,0.192,67.433,17.292,467.798,98.484,1493.831,35.932,3.718,12.559,Normal
5.775,1.919,90.416,28.677,458.359,86.943,1457.552,28.354,2.669,24.884,Critical
2.219,0.481,68.351,16.335,463.264,90.32,1496.377,34.56,3.635,35.868,Normal
4.493,1.203,108.849,31.537,451.675,88.208,1312.091,23.421,2.315,38.015,Critical
3.839,1.261,82.213,26.037,455.14,89.168,1473.923,23.99,2.874,29.63,Alert
1.844,0.465,66.227,17.786,460.966,91.656,1455.554,35.74,3.301,27.478,Normal
1.999,0.478,59.731,15.38,456.716,93.948,1485.345,39.29,3.949,23.007,Normal
6.889,2.492,95.217,22.129,455.153,94.937,1471.434,25.309,2.262,33.466,Critical
2.494,0.933,80.778,23.745,455.41,91.261,1504.082,42.684,3.743,22.695,Alert
4.876,1.326,72.705,25.292,455.494,85.764,1448.413,31.799,2.862,26.167,Alert
1.097,0.267,64.859,19.161,452.115,96.733,1544.032,36.271,3.848,25.519,Normal
1.254,0.127,60.897,17.261,453.61,96.196,1482.287,33.797,3.769,23.487,Normal
1.959,0.124,64.145,17.947,454.946,94.777,1520.951,36.751,3.555,17.598,Normal
1.831,0.472,74.308,21.426,458.797,95.602,1432.747,37.079,4.081,26.312,Normal
4.499,0.813,84.51,25.823,460.827,95.886,1480.131,24.402,2.95,29.254,Alert
1.947,0.557,68.99,22.056,464.148,97.545,1536.256,35.753,3.648,31.096,Normal
3.638,2.163,98.045,24.96,450.694,88.16,1437.476,14.875,2.658,29.247,Critical
2.941,0.677,84.353,24.317,461.301,91.08,1500.864,31.331,3.091,16.828,Alert
1.466,0.328,61.885,18.403,466.465,92.844,1533.4,34.568,3.375,28.592,Normal
4.338,1.224,83.85,26.037,463.128,95.282,1466.553,25.781,3.362,25.08,Alert
1.702,0.307,60.668,15.044,456.997,96.162,1454.165,41.588,4.2,29.549,Normal
4.67,0.97,79.977,19.163,466.169,91.135,1519.492,30.612,2.431,36.574,Alert
1.995,0.274,57.359,15.777,463.356,96.26,1531.109,33.917,3.746,30.304,Normal
3.028,1.207,75.066,19.49,457.994,91.045,1475.647,31.851,2.872,32.212,Alert
4.469,1.673,102.991,24.904,455.845,87.506,1490.545,22.275,1.705,42.188,Critical
2.404,0.28,65.396,17.475,467.481,93.045,1475.171,28.597,3.834,19.037,Normal
2.428,0.351,67.499,14.66,456.045,94.11,1549.742,32.457,3.424,20.128,Normal
2.259,0.363,65.258,18.993,462.286,95.352,1478.854,33.923,3.92,25.759,Normal
1.963,0.35,64.462,21.393,462.467,92.644,1468.595,33.35,2.796,32.78,Normal
8.193,2.351,98.272,25.424,463.187,86.892,1476.502,20.165,2.112,26.768,Critical
4.047,0.826,72.193,26.92,460.237,92.936,1513.166,26.504,2.969,26.672,Alert
3.555,0.905,76.614,26.901,466.052,94.089,1475.75,28.786,2.466,39.412,Alert
1.362,0.227,64.222,19.688,461.029,100.292,1493.249,27.323,3.708,16.664,Normal
2.367,0.245,60.881,17.58,459.885,94.323,1506.392,35.167,3.71,28.866,Normal
1.901,0.345,65.145,17.508,447.877,95.37,1411.471,37.224,3.513,14.899,Normal
2.431,0.508,68.327,19.682,451.693,96.284,1468.35,39.973,4.257,21.35,Normal
1.578,0.335,64.863,17.477,467.862,93.296,1531.047,34.091,3.269,23.159,Normal
1.828,0.127,63.487,15.301,458.537,94.813,1517.474,37.111,3.783,25.019,Normal
4.005,1.122,80.428,27.256,453.739,89.772,1439.091,33.314,3.464,30.817,Alert
4.654,1.471,85.224,26.08,453.204,96.936,1553.075,29.388,2.731,31.29,Alert
3.422,1.415,81.84,28.303,454.393,96.632,1497.431,31.827,3.167,26.183,Alert
2.276,0.214,64.321,12.26,459.089,95.228,1436.384,33.179,3.742,24.946,Normal
3.589,0.861,72.293,20.474,465.478,88.413,1516.895,31.664,2.768,26.158,Alert
2.753,0.277,70.279,19.678,456.007,95.801,1457.597,36.373,4.186,27.745,Normal
2.135,0.319,64.907,17.491,463.342,92.68,1457.556,31.336,3.925,30.359,Normal
1.717,0.398,63.393,18.15,466.757,94.119,1495.116,33.088,3.46,25.088,Normal
1.662,0.314,65.236,17.231,457.025,95.884,1495.059,35.551,3.855,26.988,Normal
2.276,0.464,68.394,15.787,460.922,93.882,1452.127,36.998,3.76,28.0,Normal
1.221,0.338,62.622,14.3,461.541,96.682,1464.469,34.665,4.004,33.434,Normal
3.4,1.08,83.952,25.887,470.257,99.984,1481.023,27.324,2.846,27.511,Alert
2.441,0.398,75.733,20.245,456.971,93.806,1470.21,30.811,3.494,30.364,Normal
2.66,0.694,65.207,15.134,450.855,100.435,1469.416,38.446,3.661,33.003,Normal
5.297,1.746,91.852,27.455,464.81,86.517,1494.498,31.907,2.707,36.175,Critical
4.734,1.112,67.016,21.141,454.006,87.598,1420.38,29.896,3.537,29.364,Alert
4.152,0.839,80.504,25.156,454.581,88.946,1498.753,23.148,2.461,45.958,Alert
2.09,0.297,67.836,17.041,459.303,94.586,1503.548,30.91,2.956,23.58,Normal
2.152,0.237,66.574,17.095,463.485,95.103,1495.098,35.193,4.024,23.59,Normal
8.103,2.228,100.723,24.698,451.184,88.119,1527.173,24.808,2.087,32.955,Critical
2.247,0.485,64.315,19.285,464.78,93.207,1449.76,33.71,3.422,24.488,Normal
1.987,0.424,62.591,18.285,454.183,95.595,1471.453,37.293,4.304,38.56,Normal
1.517,0.331,72.64,16.075,448.596,92.418,1440.567,35.002,3.513,23.562,Normal
1.566,0.239,62.945,14.23,459.327,94.645,1459.191,38.71,4.227,30.464,Normal
3.007,0.494,73.203,19.425,465.236,92.972,1462.262,26.259,3.738,32.366,Normal
3.612,1.054,80.511,21.457,464.13,90.576,1389.869,30.119,1.898,29.086,Alert
2.634,0.441,60.187,16.088,466.215,95.629,1444.9,32.438,3.928,29.704,Normal
6.632,2.017,90.409,28.463,456.494,84.73,1478.242,27.912,2.243,42.192,Critical
5.384,1.058,73.612,16.529,459.514,90.271,1482.996,29.661,2.415,17.699,Alert
7.09,2.532,88.703,34.899,447.848,83.653,1467.49,19.863,2.105,34.292,Critical
6.027,2.309,96.374,28.891,456.485,87.447,1430.244,18.87,2.218,32.538,Critical
1.763,0.406,61.089,16.841,458.401,96.319,1488.057,36.08,3.606,19.182,Normal
1.52,0.1,60.048,17.687,458.612,95.138,1459.796,35.759,3.727,24.486,Normal
6.599,2.43,93.578,27.243,451.036,82.305,1585.849,30.796,1.522,22.584,Critical
2.066,0.356,70.752,15.019,457.928,93.904,1446.799,34.716,3.364,24.743,Normal
1.92,0.256,65.595,13.7,451.79,95.138,1484.339,36.14,4.258,26.077,Normal
4.468,1.292,82.117,22.452,457.03,94.596,1442.965,30.531,3.189,36.946,Alert
8.557,2.531,82.606,25.771,445.101,85.246,1349.838,19.179,1.024,35.595,Critical
1.498,0.436,73.367,16.14,457.346,95.597,1476.676,31.854,4.022,36.986,Normal
3.879,0.947,77.729,19.687,469.303,90.869,1520.965,35.487,3.648,25.93,Alert
5.947,1.973,105.258,25.193,454.037,78.035,1534.323,23.228,1.889,31.226,Critical
2.568,0.476,67.359,14.284,458.185,99.302,1515.14,30.22,3.678,26.738,Normal
4.177,1.209,80.789,17.957,466.697,93.968,1506.061,32.517,3.171,33.803,Alert
2.015,0.036,59.16,20.839,456.668,93.948,1471.626,40.147,3.311,20.595,Normal
1.963,0.364,68.05,17.07,461.717,93.999,1501.238,34.217,3.558,22.81,Normal
4.93,1.118,86.692,26.972,456.019,96.882,1487.296,25.568,3.484,40.291,Alert
4.976,0.831,77.241,21.737,459.678,92.425,1491.728,27.077,2.97,27.741,Alert
2.586,0.49,60.412,15.709,466.536,95.086,1482.136,37.488,4.071,26.393,Normal
2.014,0.26,64.248,21.171,450.098,98.717,1437.453,34.274,3.589,27.232,Normal
4.093,1.252,72.564,20.241,451.846,88.56,1423.081,34.448,2.935,28.943,Alert
2.462,0.488,63.041,18.487,462.235,95.592,1529.008,35.303,3.74,24.935,Normal
4.299,1.029,80.996,19.878,458.486,90.181,1505.991,34.311,2.602,29.594,Alert
3.865,0.75,78.005,25.566,463.678,91.098,1447.185,22.379,3.294,30.944,Alert
4.119,1.049,76.914,19.969,451.279,89.321,1522.504,31.444,2.804,32.55,Alert
1.684,0.473,69.939,17.657,453.176,94.755,1512.35,35.129,4.082,31.445,Normal
5.175,1.385,79.533,24.284,456.668,91.756,1468.251,33.908,3.455,31.016,Alert
2.871,0.363,64.842,19.114,467.356,95.245,1451.422,35.523,4.074,23.414,Normal
2.4,0.441,59.997,18.556,461.821,96.574,1495.673,36.362,4.586,24.675,Normal
2.79,0.586,61.54,17.394,463.423,93.578,1438.282,35.402,3.513,23.743,Normal
4.008,0.523,80.931,25.439,454.312,90.907,1426.461,19.844,3.419,28.111,Alert
1.363,0.332,61.386,14.26,458.729,97.063,1472.818,34.173,4.244,23.672,Normal
1.918,0.652,85.59,21.977,457.713,89.091,1511.245,32.033,3.285,17.582,Alert
2.041,0.597,67.818,18.469,462.286,92.806,1497.266,30.248,3.437,20.981,Normal
2.27,0.259,69.326,17.125,460.99,94.883,1476.892,42.521,4.246,28.892,Normal
5.891,1.699,95.335,20.868,450.656,92.673,1402.87,29.654,2.497,18.257,Critical
2.317,0.395,67.521,18.261,471.181,90.813,1509.773,31.44,3.5,23.531,Normal
3.028,0.51,67.527,18.006,454.241,98.092,1457.438,39.627,4.33,28.033,Normal
2.85,0.414,63.856,15.574,454.701,94.333,1462.437,29.694,3.419,30.384,Normal
3.884,1.002,88.968,20.279,472.218,93.516,1492.032,26.312,2.961,23.332,Alert
5.218,1.289,81.883,28.436,462.831,89.528,1447.629,31.754,2.573,26.757,Alert
1.706,0.476,70.631,19.558,463.999,97.252,1454.867,34.145,3.389,23.982,Normal
2.464,0.344,62.647,21.793,455.741,96.694,1499.283,35.954,3.697,26.553,Normal
3.829,1.358,85.548,22.363,455.881,92.411,1431.612,32.367,3.425,34.961,Alert
3.726,0.747,87.489,21.845,449.421,94.699,1449.571,28.3,2.227,38.408,Alert
1.248,0.141,61.091,15.652,465.102,94.989,1468.279,29.281,3.606,19.238,Normal
5.467,2.357,96.891,33.664,462.142,83.912,1562.885,25.555,2.04,38.652,Critical
2.183,0.328,74.261,19.757,456.21,96.602,1490.877,36.62,3.783,31.903,Normal
2.422,0.296,64.007,17.16,464.57,94.424,1510.779,32.187,3.166,28.694,Normal
0.933,0.227,63.003,13.349,463.255,98.198,1474.654,37.256,4.265,31.831,Normal
2.38,0.35,69.953,16.506,458.502,95.989,1473.444,39.45,4.046,28.403,Normal
2.306,0.319,70.397,16.522,467.481,96.224,1479.945,32.225,3.667,24.075,Normal
5.559,1.331,75.367,24.907,472.018,90.702,1510.719,34.491,3.608,28.777,Alert
4.415,0.614,78.685,21.948,463.229,92.944,1444.984,27.468,2.789,22.919,Alert
2.467,0.461,63.113,16.119,462.971,95.128,1508.88,32.328,3.075,21.753,Normal
3.54,0.88,75.347,19.708,471.365,89.594,1453.398,29.059,2.765,31.75,Alert
5.235,1.368,69.301,20.516,454.188,90.02,1491.616,29.684,2.976,36.267,Alert
2.235,0.546,60.701,17.34,466.225,92.721,1498.649,41.802,4.145,31.855,Normal
4.231,1.117,82.893,25.694,463.693,95.573,1506.284,29.332,2.478,37.072,Alert
1.725,0.172,67.839,17.932,455.241,97.624,1514.403,37.414,4.017,24.009,Normal
4.106,1.081,75.757,25.048,457.019,96.355,1418.646,35.738,3.026,30.897,Alert
2.907,0.54,59.316,17.093,455.394,96.786,1451.265,33.037,3.415,26.437,Normal
6.747,2.054,96.883,29.35,460.325,80.678,1452.855,8.576,1.395,21.518,Critical
2.343,0.424,61.3,14.672,459.575,94.027,1508.623,36.793,3.998,19.567,Normal
1.502,0.279,65.39,19.204,456.022,94.623,1464.578,32.789,3.644,28.613,Normal
2.004,0.057,56.818,17.223,460.974,95.001,1438.757,31.617,3.614,26.403,Normal
3.41,0.723,69.796,19.011,474.719,93.561,1535.989,34.291,2.926,26.018,Alert
2.386,0.285,59.553,14.903,461.397,94.849,1483.879,36.818,3.719,19.706,Normal
7.284,2.37,90.593,22.743,458.745,81.775,1411.574,19.031,1.6,32.523,Critical
5.88,1.886,91.563,25.977,451.274,78.859,1417.78,23.768,1.392,30.575,Critical
5.263,1.689,96.195,22.301,475.634,89.629,1451.062,31.26,2.958,30.985,Alert
2.253,0.476,66.211,17.369,470.631,96.535,1500.296,30.461,3.213,26.78,Normal
2.002,0.332,61.981,18.789,462.549,96.65,1478.518,35.608,3.477,35.782,Normal
3.256,0.993,77.535,16.99,459.487,90.804,1530.456,32.342,2.716,38.547,Alert
5.206,1.14,82.902,26.679,454.209,91.188,1571.012,29.795,3.457,33.837,Alert
3.787,0.766,77.98,18.994,456.927,87.23,1500.896,33.034,2.472,35.952,Alert
3.781,1.25,76.148,23.02,456.831,93.012,1484.341,34.148,3.112,26.435,Alert
1.711,0.256,61.308,16.205,462.553,97.404,1455.211,31.65,3.753,19.86,Normal
1.636,0.435,59.294,17.751,464.501,92.5,1566.894,33.835,3.529,19.504,Normal
1.71,0.154,56.864,18.79,466.654,94.696,1465.066,34.363,3.665,26.204,Normal
2.1,0.322,66.307,18.499,461.698,93.563,1423.507,36.201,3.217,23.767,Normal
4.129,1.064,82.735,25.129,463.039,91.343,1463.119,29.095,3.0,34.181,Alert
1.816,0.324,64.44,17.512,462.846,94.398,1467.419,35.695,3.541,28.214,Normal
4.803,1.306,85.778,27.04,457.243,88.137,1473.31,26.668,2.878,35.066,Alert
2.287,0.275,66.464,14.77,463.142,91.121,1427.072,36.565,3.565,19.229,Normal
4.615,0.697,81.628,21.769,464.723,93.161,1547.617,34.797,3.687,36.269,Alert
5.59,2.311,95.161,22.937,464.292,85.477,1457.591,31.172,2.416,33.51,Critical
2.481,0.273,68.015,20.251,457.665,96.84,1472.956,37.817,3.179,17.302,Normal
1.302,0.251,62.293,14.338,455.351,88.729,1517.935,32.465,3.374,17.496,Normal
2.526,0.499,58.549,15.987,463.862,96.62,1482.983,38.083,3.643,27.132,Normal
5.159,1.566,81.741,25.262,449.335,98.068,1450.165,25.707,2.761,36.507,Alert
5.593,1.007,79.955,28.23,462.84,91.915,1425.122,24.285,3.01,37.128,Alert
2.291,0.341,68.229,20.615,460.394,94.392,1502.801,40.575,3.919,19.712,Normal
1.478,0.283,67.972,17.925,466.234,95.966,1425.939,33.573,3.571,27.295,Normal
2.755,0.707,88.975,24.472,461.241,96.873,1478.445,27.021,2.704,21.205,Alert
2.017,0.35,59.066,15.925,463.945,96.737,1487.33,35.089,3.632,20.936,Normal
1.993,0.287,64.571,18.185,458.487,100.233,1449.718,40.05,3.989,25.587,Normal
3.515,0.577,71.966,17.349,455.109,98.004,1455.702,30.929,3.165,28.79,Alert
1.862,0.323,59.568,16.263,462.078,94.773,1432.658,43.834,3.784,25.557,Normal
2.211,0.374,59.539,18.436,455.344,96.006,1509.642,37.559,3.752,22.574,Normal
4.106,1.177,84.387,21.862,463.322,88.804,1477.399,28.195,2.9,32.096,Alert
2.675,0.709,76.638,22.522,466.141,91.206,1394.044,37.312,2.962,22.564,Alert
4.394,1.002,89.473,24.23,463.251,95.689,1506.95,24.789,2.909,32.392,Alert
1.387,0.368,69.173,16.797,457.281,95.511,1466.784,35.523,4.363,23.504,Normal
2.72,0.41,61.291,14.949,459.446,96.165,1441.436,36.257,3.81,16.044,Normal
5.133,1.339,86.256,23.353,464.906,95.884,1481.083,28.457,2.284,26.555,Alert
4.818,0.835,87.534,25.936,467.84,87.822,1408.067,29.514,3.34,38.785,Alert
6.177,2.019,93.783,32.487,470.28,87.803,1478.944,25.119,2.734,29.208,Critical
2.225,0.237,68.848,20.289,456.143,94.71,1484.246,38.011,4.335,17.53,Normal
1.5,0.465,61.819,18.489,463.283,97.583,1476.799,40.521,3.811,26.317,Normal
3.814,1.433,72.008,18.87,457.171,94.482,1415.555,18.516,2.393,31.49,Alert
2.39,0.608,57.917,15.292,465.913,95.546,1504.138,36.278,3.804,18.331,Normal
4.888,1.976,96.27,25.856,450.895,91.276,1405.133,20.402,2.572,32.218,Critical
1.177,0.25,59.576,20.052,449.801,94.619,1475.375,34.685,3.196,21.675,Normal
2.164,0.337,69.286,18.587,457.524,95.166,1468.849,32.12,3.956,24.843,Normal
4.247,1.317,69.117,23.185,467.107,87.485,1538.245,31.841,2.79,27.508,Alert
4.433,1.378,84.21,25.144,460.031,92.085,1518.816,24.521,2.645,23.692,Alert
4.635,1.241,80.67,21.581,452.437,88.295,1504.7,30.518,2.984,25.723,Alert
2.038,0.217,61.853,16.53,460.133,99.559,1481.004,38.734,3.745,24.017,Normal
1.954,0.158,64.653,17.587,463.054,97.631,1452.605,34.162,3.411,19.798,Normal
2.165,0.377,67.186,19.067,471.149,95.705,1502.123,30.6,3.142,18.685,Normal
2.819,0.525,63.256,13.219,458.852,94.029,1486.823,35.24,3.717,27.493,Normal
1.627,0.25,68.872,18.674,455.156,92.198,1480.668,39.539,4.443,26.45,Normal
3.083,0.44,68.134,14.431,459.047,94.127,1492.53,27.013,3.462,20.283,Normal
4.528,0.884,80.586,24.657,466.338,100.282,1483.349,28.098,2.909,18.212,Alert
2.35,0.219,72.656,15.611,464.143,97.016,1429.424,35.31,3.541,25.915,Normal
3.65,0.9,83.138,22.665,459.532,93.543,1392.734,35.177,3.225,26.315,Alert
1.812,0.374,67.068,19.324,468.368,93.527,1459.736,31.622,3.563,26.96,Normal
3.518,0.879,77.278,24.404,467.145,88.701,1535.664,30.437,2.693,32.975,Alert
1.808,0.344,63.436,15.601,463.557,94.758,1435.998,36.665,3.299,19.615,Normal
1.993,0.318,69.954,16.893,457.109,90.184,1480.344,41.26,4.125,24.55,Normal
4.307,0.902,81.996,24.819,469.388,89.03,1423.697,26.188,2.427,36.915,Alert
2.149,0.475,63.152,15.013,462.371,96.005,1434.903,37.35,3.341,20.295,Normal
4.123,0.64,69.229,23.396,461.056,95.687,1489.234,29.513,2.588,37.005,Alert
4.024,1.208,71.405,17.813,469.971,89.205,1520.203,29.681,2.852,30.532,Alert
2.449,0.24,63.705,24.89,460.061,93.0,1474.484,35.527,3.809,27.966,Normal
4.16,0.983,74.863,22.751,454.238,89.666,1423.655,22.638,3.16,20.065,Alert
2.246,0.518,70.143,15.991,461.568,96.585,1496.84,31.691,2.922,26.122,Normal
1.877,0.447,67.714,13.652,462.999,94.944,1477.02,34.206,3.13,18.987,Normal
2.489,0.402,54.554,17.064,466.271,96.399,1438.329,28.304,3.291,24.562,Normal
3.751,0.751,79.922,20.865,456.506,93.236,1542.604,31.215,2.623,30.53,Alert
4.476,1.474,75.631,23.357,460.735,92.718,1466.926,30.899,2.828,28.172,Alert
3.985,1.482,75.764,25.589,462.257,94.766,1441.439,27.151,3.284,30.399,Alert
1.766,0.376,63.442,18.184,451.348,95.393,1420.556,33.502,3.795,21.656,Normal
2.006,0.333,57.173,16.441,461.272,93.832,1439.596,38.974,3.891,25.25,Normal
5.664,1.896,93.078,29.27,458.358,86.013,1430.539,30.052,3.039,35.225,Critical
4.038,1.046,79.256,20.884,456.595,93.755,1392.108,36.917,3.529,29.124,Alert
1.803,0.465,62.862,15.772,458.528,91.497,1508.754,35.865,3.533,34.33,Normal
3.024,0.222,64.482,21.659,465.411,93.939,1484.308,34.656,3.43,24.75,Normal
6.793,2.114,92.558,31.269,461.154,87.692,1431.991,26.746,1.964,35.68,Critical
2.299,0.469,67.846,13.456,460.287,93.635,1469.87,37.983,3.858,30.514,Normal
4.902,1.153,70.211,23.194,467.956,94.326,1439.417,30.704,2.918,23.582,Alert
2.295,0.406,70.592,19.421,464.08,94.35,1467.283,36.566,3.921,23.928,Normal
1.003,0.271,68.084,16.735,461.926,92.573,1477.042,38.856,2.927,22.891,Normal
1.881,0.428,65.938,20.532,460.64,97.418,1490.912,37.102,3.458,22.355,Normal
4.016,0.868,82.997,23.804,446.544,93.879,1464.552,34.635,2.845,9.559,Alert
1.572,0.326,70.574,16.18,460.376,96.738,1511.452,29.892,3.597,24.895,Normal
1.028,0.561,66.296,18.549,461.444,96.508,1482.851,35.801,3.732,22.174,Normal
2.052,0.29,70.372,19.605,465.844,94.333,1450.664,35.218,3.647,22.172,Normal
2.164,0.354,71.176,16.794,461.074,93.35,1495.153,35.48,3.68,30.361,Normal
0.997,0.104,64.953,19.122,460.31,92.191,1500.495,32.897,3.094,19.955,Normal
2.159,0.411,67.485,16.598,459.798,96.975,1531.287,30.442,3.505,22.181,Normal
4.763,1.314,80.648,18.424,470.706,93.462,1448.544,31.735,2.352,34.38,Alert
3.815,0.734,89.726,23.335,460.475,94.606,1443.923,24.751,2.895,16.424,Alert
2.348,0.418,68.597,21.345,450.435,92.434,1450.469,32.459,3.631,21.873,Normal
3.639,0.991,75.541,15.678,461.446,93.58,1476.478,21.761,2.644,15.684,Alert
1.999,0.062,69.474,16.226,456.507,97.389,1516.709,33.916,3.033,30.28,Normal
3.807,0.771,80.269,18.396,456.929,92.076,1461.107,28.566,2.906,31.675,Alert
2.772,0.46,64.281,18.494,456.547,94.296,1469.935,36.197,4.205,31.051,Normal
2.643,0.912,74.357,22.36,457.056,88.684,1441.344,30.252,2.493,23.354,Alert
4.17,1.023,80.245,22.819,463.892,86.336,1457.414,32.253,3.39,35.629,Alert
2.11,0.529,62.616,16.64,460.622,97.494,1452.069,30.362,3.843,17.043,Normal
3.303,0.64,72.549,25.937,456.253,96.459,1445.381,22.761,2.169,36.621,Alert
2.507,0.767,83.895,22.851,454.785,98.555,1546.488,31.269,3.687,14.8,Alert
1.126,0.233,67.38,17.124,469.744,94.573,1486.586,30.384,3.641,15.267,Normal
3.856,1.022,83.258,22.96,447.351,87.992,1505.026,18.969,2.922,31.927,Alert
5.661,1.797,103.363,19.703,465.692,83.779,1445.989,21.572,2.879,23.452,Critical
2.137,0.145,63.108,16.38,463.258,95.256,1437.431,40.415,4.13,18.389,Normal
6.225,1.967,99.907,25.898,448.202,78.796,1341.137,22.195,1.82,27.255,Critical
2.281,0.303,62.445,14.402,461.85,97.868,1495.498,32.431,3.552,17.563,Normal
2.892,0.489,73.688,17.216,452.838,93.777,1507.715,31.696,3.349,28.952,Normal
2.419,0.511,63.931,15.757,458.268,93.538,1467.641,34.042,4.267,28.704,Normal
2.134,0.335,57.899,16.869,458.229,96.777,1468.313,29.392,3.348,24.367,Normal
1.436,0.356,63.197,15.144,458.712,93.681,1467.837,34.717,3.886,19.832,Normal
4.816,1.136,78.972,25.631,449.654,89.371,1482.31,32.495,2.783,27.926,Alert
2.597,0.325,61.952,17.969,460.581,93.386,1467.67,32.592,4.293,13.976,Normal
5.861,2.09,100.185,33.711,454.302,83.216,1396.747,27.481,2.932,29.858,Critical
0.608,0.211,63.439,14.309,458.545,94.577,1498.425,30.263,3.089,25.922,Normal
3.375,0.917,80.772,19.057,464.245,83.135,1577.335,36.278,3.157,27.816,Alert
3.439,1.25,88.839,24.079,468.526,87.401,1518.333,35.114,3.445,26.903,Alert
3.908,1.096,74.367,19.655,455.674,91.476,1470.507,36.173,3.349,12.102,Alert
1.794,0.535,63.936,15.766,463.806,96.038,1496.323,26.098,3.462,16.464,Normal
2.158,0.397,60.734,14.751,454.459,98.907,1508.222,36.231,3.437,28.546,Normal
2.412,0.337,63.682,17.889,463.237,93.279,1516.541,30.599,3.219,24.347,Normal
3.453,0.877,77.698,24.286,463.136,82.296,1511.159,35.521,2.693,22.348,Alert
1.512,0.295,61.616,17.057,455.61,93.674,1424.798,37.407,3.712,24.868,Normal
0.768,0.245,60.646,15.007,454.572,96.951,1506.474,34.417,3.383,33.726,Normal
2.273,0.439,70.185,17.705,459.211,96.352,1482.856,29.363,3.156,28.356,Normal
1.736,0.314,68.84,17.112,459.506,95.27,1469.601,32.228,3.046,21.444,Normal
