regrind_pct,resin_temp_c,cooling_time_s,paint_viscosity,film_thickness_um,booth_humidity_pct,pre_paint_storage_hrs,num_handlings,container_type,part_protection,surface_defect
7.24,237.54,20.17,29.33,31.57,51.59,2.02,3,metal_rack,protected,0
26.33,221.48,15.92,28.8,24.79,61.98,3.54,4,metal_rack,unprotected,0
26.45,243.35,11.45,25.89,27.01,55.76,1.27,5,plastic_box,unprotected,0
21.42,235.3,17.26,25.03,28.34,58.15,4.28,2,cardboard_pallet,protected,0
0.0,238.49,19.26,23.78,28.23,50.49,1.91,4,cardboard_pallet,unprotected,0
0.0,229.39,22.72,26.89,30.38,58.72,1.19,1,plastic_box,protected,0
6.83,236.97,19.9,25.9,28.57,57.55,1.27,3,plastic_box,unprotected,0
5.25,236.86,19.27,25.02,29.68,45.48,7.19,1,metal_rack,unprotected,1
14.53,242.55,22.05,23.61,34.51,53.04,0.9,1,metal_rack,protected,0
19.91,222.54,18.9,24.53,33.08,55.9,0.69,6,plastic_box,unprotected,0
19.43,227.03,21.52,20.15,25.83,47.37,4.95,3,cardboard_pallet,unprotected,1
16.57,231.91,22.25,25.19,25.97,54.02,0.81,1,metal_rack,protected,0
21.81,233.13,18.69,26.87,36.39,58.63,1.37,3,metal_rack,protected,0
15.43,233.04,22.74,25.55,36.87,51.3,5.89,5,metal_rack,protected,0
10.93,224.19,21.63,21.36,34.48,44.93,3.28,3,plastic_box,unprotected,0
6.27,236.09,14.7,27.66,30.15,64.56,1.58,7,cardboard_pallet,protected,1
20.12,236.82,19.83,23.31,26.29,53.91,0.93,3,plastic_box,protected,0
15.61,234.91,12.7,23.42,20.0,52.86,6.95,1,plastic_box,unprotected,0
11.44,239.37,19.9,25.0,30.41,48.67,0.8,1,cardboard_pallet,unprotected,0
22.28,232.25,19.52,18.35,24.75,46.18,0.04,3,cardboard_pallet,unprotected,0
10.37,253.84,23.46,30.46,33.75,68.15,3.06,5,plastic_box,protected,0
15.18,231.29,18.11,23.91,33.12,41.19,2.31,5,metal_rack,protected,1
11.94,231.26,14.48,26.56,29.35,56.02,5.81,2,cardboard_pallet,unprotected,1
0.0,240.08,12.39,24.49,31.52,54.98,6.28,4,metal_rack,unprotected,1
5.49,255.58,16.25,26.69,34.81,67.49,6.75,1,metal_rack,protected,1
12.86,240.43,13.65,23.64,32.64,40.07,1.1,1,cardboard_pallet,protected,0
12.03,235.1,16.43,21.81,33.72,58.35,1.52,2,metal_rack,protected,0
0.0,227.51,18.09,23.76,25.34,43.22,3.11,2,plastic_box,unprotected,0
18.74,236.82,17.46,26.15,32.11,52.19,5.09,1,metal_rack,unprotected,0
11.05,240.97,25.17,22.18,26.45,43.28,1.59,3,cardboard_pallet,unprotected,0
8.84,238.38,23.16,22.67,30.93,41.31,3.15,2,metal_rack,unprotected,0
18.64,238.19,19.16,22.42,33.22,48.96,2.39,2,cardboard_pallet,protected,1
8.04,227.16,13.79,22.12,31.49,57.14,17.79,2,plastic_box,unprotected,0
10.95,239.14,17.11,25.03,24.84,51.94,2.36,4,plastic_box,protected,0
5.06,237.2,20.69,21.85,29.14,47.08,4.17,1,plastic_box,protected,0
11.25,235.04,18.73,23.86,30.63,47.14,5.57,3,cardboard_pallet,unprotected,0
15.0,233.19,14.41,25.44,26.89,35.86,12.26,4,metal_rack,unprotected,1
2.27,225.09,22.29,23.94,28.79,32.81,0.0,1,plastic_box,protected,0
0.36,235.52,19.85,24.62,34.82,68.92,7.45,1,cardboard_pallet,protected,0
0.0,237.39,17.97,25.41,35.44,51.9,0.42,3,cardboard_pallet,unprotected,1
0.0,228.45,21.95,29.73,28.74,54.12,3.53,1,metal_rack,unprotected,0
18.44,227.49,13.94,26.23,27.52,45.5,2.98,3,metal_rack,protected,0
0.53,241.03,16.18,25.5,40.93,57.98,7.69,3,plastic_box,protected,0
21.85,239.12,16.57,25.18,30.93,53.79,10.81,1,metal_rack,unprotected,0
9.45,239.39,17.12,22.14,27.6,53.46,5.16,1,metal_rack,protected,0
9.71,231.88,22.87,24.42,37.68,35.04,0.0,4,metal_rack,protected,1
15.71,233.7,14.16,25.5,28.56,30.0,0.61,3,plastic_box,protected,0
19.35,234.4,24.76,22.57,25.87,32.31,6.92,6,cardboard_pallet,protected,0
11.52,246.42,23.53,23.06,28.32,62.36,12.11,2,plastic_box,protected,0
0.0,230.72,16.77,25.65,25.95,49.34,3.22,3,metal_rack,unprotected,0
2.92,241.06,20.78,22.77,24.03,47.58,0.0,4,cardboard_pallet,protected,0
14.25,234.35,13.52,27.68,32.08,53.66,2.82,3,metal_rack,protected,0
8.85,242.91,12.89,23.77,33.96,47.21,3.15,3,plastic_box,unprotected,0
2.88,222.87,12.53,25.31,20.0,31.59,0.47,5,plastic_box,protected,0
15.61,240.64,13.43,27.7,27.89,51.78,13.04,3,cardboard_pallet,protected,0
10.79,239.33,22.39,25.35,20.0,69.39,9.74,5,plastic_box,protected,0
0.0,247.29,17.33,22.65,28.44,39.56,0.0,3,metal_rack,unprotected,1
17.05,230.79,17.58,24.5,23.22,57.68,16.35,4,plastic_box,unprotected,0
5.47,236.79,17.49,27.04,37.75,58.74,6.37,3,metal_rack,unprotected,1
15.95,226.54,10.4,25.91,31.56,58.94,17.88,4,plastic_box,unprotected,0
0.0,237.01,19.84,21.92,21.59,56.08,0.32,4,cardboard_pallet,unprotected,1
12.39,256.8,18.86,24.29,25.28,40.13,4.17,4,metal_rack,protected,0
11.08,238.77,19.99,24.66,31.62,61.9,0.42,4,plastic_box,protected,0
22.37,244.48,13.09,23.1,31.44,48.82,0.91,4,metal_rack,unprotected,0
5.24,234.73,22.4,25.75,29.62,54.85,12.44,5,cardboard_pallet,protected,0
20.07,235.05,17.71,25.03,27.48,47.69,8.33,3,cardboard_pallet,unprotected,1
30.27,239.11,14.72,25.7,26.45,58.15,1.54,2,cardboard_pallet,protected,0
10.67,227.63,13.56,22.72,28.81,48.43,19.91,4,metal_rack,unprotected,1
9.56,235.67,19.0,21.81,32.42,47.4,0.36,5,cardboard_pallet,unprotected,0
5.32,238.47,19.23,26.48,33.93,65.75,1.91,2,metal_rack,unprotected,0
2.17,235.65,24.21,25.82,28.1,53.87,4.48,4,cardboard_pallet,protected,0
9.81,237.5,11.65,26.72,27.45,45.48,6.85,4,metal_rack,protected,1
0.0,248.37,21.77,24.67,27.86,36.43,2.53,1,cardboard_pallet,unprotected,0
11.48,227.71,13.7,25.08,30.24,54.75,7.68,1,metal_rack,unprotected,0
12.44,243.24,16.31,25.31,27.9,52.17,11.73,4,metal_rack,unprotected,1
18.35,242.58,22.39,26.32,38.55,59.09,4.11,6,plastic_box,unprotected,0
1.45,247.62,10.92,24.41,34.49,46.99,0.74,4,metal_rack,protected,0
0.0,225.76,15.29,25.26,38.46,52.35,3.56,4,metal_rack,unprotected,0
9.9,237.21,19.55,26.14,32.3,50.8,0.31,1,cardboard_pallet,unprotected,1
4.55,233.26,18.68,25.59,33.35,54.39,15.23,2,plastic_box,unprotected,0
15.34,237.88,15.57,25.98,27.41,49.85,9.91,1,plastic_box,protected,0
6.61,225.93,16.93,28.09,30.62,45.85,0.0,4,plastic_box,unprotected,0
14.65,247.79,17.52,25.81,37.01,74.89,4.98,3,plastic_box,protected,1
22.28,238.41,22.24,23.83,34.25,41.13,1.06,4,metal_rack,unprotected,1
14.27,242.3,24.64,24.89,31.75,70.2,0.0,2,cardboard_pallet,unprotected,1
13.81,217.51,22.09,21.4,23.42,47.87,1.54,6,plastic_box,protected,0
19.29,231.81,18.77,26.76,42.79,66.83,1.74,2,plastic_box,protected,0
0.0,243.37,22.1,24.48,26.06,65.36,7.65,3,plastic_box,unprotected,0
34.38,229.72,21.95,25.89,28.88,50.78,7.06,2,plastic_box,protected,0
3.0,228.17,20.44,26.16,23.45,59.43,2.52,5,plastic_box,protected,0
8.09,228.74,19.77,24.0,23.9,33.96,1.18,3,plastic_box,protected,0
4.84,232.93,24.55,26.08,20.0,50.01,2.09,2,metal_rack,protected,0
11.6,238.12,16.45,25.89,26.15,56.34,5.87,5,plastic_box,protected,0
14.25,232.1,21.68,19.25,32.63,51.95,2.57,4,metal_rack,unprotected,1
1.08,228.16,19.36,21.8,40.06,38.4,14.42,5,cardboard_pallet,protected,0
16.61,241.57,13.74,25.15,27.89,39.53,7.22,1,metal_rack,protected,0
1.66,219.95,22.65,24.13,29.31,66.02,4.2,4,cardboard_pallet,unprotected,0
13.01,235.72,18.46,24.67,22.44,30.0,3.92,1,cardboard_pallet,protected,0
0.0,236.24,20.08,25.22,29.93,43.51,9.74,2,metal_rack,protected,0
17.36,228.75,16.41,23.46,35.23,41.49,8.57,2,metal_rack,protected,0
10.2,224.32,18.57,26.49,23.17,62.24,7.76,3,metal_rack,unprotected,1
10.29,241.03,24.29,27.31,26.68,61.86,6.41,5,cardboard_pallet,protected,1
6.59,242.45,14.26,24.51,30.3,44.63,2.43,2,plastic_box,protected,0
10.72,229.98,18.8,23.71,23.88,44.86,4.25,5,metal_rack,protected,0
17.73,233.15,16.64,26.49,32.74,48.05,1.08,4,metal_rack,protected,0
4.21,238.42,12.94,24.84,27.92,30.0,1.31,1,plastic_box,protected,0
2.03,236.15,21.78,24.85,27.75,58.8,0.0,6,cardboard_pallet,unprotected,0
22.39,225.74,23.6,23.67,32.07,63.56,8.66,4,metal_rack,unprotected,1
1.3,227.22,18.15,22.06,31.66,45.16,0.0,4,plastic_box,protected,0
5.53,235.49,15.98,22.72,27.24,48.58,11.66,2,plastic_box,unprotected,1
4.89,231.39,20.38,25.03,27.72,44.66,0.55,3,plastic_box,protected,0
19.18,220.52,16.42,23.71,24.28,43.85,0.91,3,metal_rack,protected,0
17.97,234.83,17.83,28.71,27.63,49.23,1.22,3,plastic_box,unprotected,0
3.74,251.47,13.29,21.85,20.0,60.42,0.51,1,metal_rack,protected,0
9.3,238.84,15.91,27.34,31.12,52.67,2.91,1,cardboard_pallet,unprotected,0
3.52,233.46,12.69,23.07,28.23,45.49,1.23,3,metal_rack,protected,0
10.38,243.45,25.08,24.0,29.81,50.55,15.78,1,metal_rack,protected,0
12.35,239.09,20.06,22.99,29.76,54.74,0.88,4,plastic_box,unprotected,0
13.99,230.54,16.08,27.21,27.16,37.29,14.66,2,metal_rack,unprotected,1
10.08,239.59,14.11,23.04,36.14,58.15,1.03,5,metal_rack,unprotected,1
6.82,223.66,24.69,21.16,38.18,40.7,0.0,2,plastic_box,protected,0
15.03,243.5,15.84,19.23,36.19,42.33,0.8,2,plastic_box,protected,0
4.54,230.36,14.04,25.46,31.09,30.27,1.26,1,cardboard_pallet,protected,0
15.75,228.21,17.03,23.65,40.83,53.1,6.86,1,plastic_box,protected,0
11.97,226.67,13.57,30.3,30.47,52.15,0.0,2,plastic_box,protected,0
9.43,243.44,14.23,23.73,27.81,63.3,1.75,2,plastic_box,unprotected,1
28.33,238.5,14.4,27.29,35.49,48.42,1.71,2,plastic_box,protected,0
10.69,223.98,20.66,22.32,24.15,30.32,23.81,7,metal_rack,protected,1
9.53,235.35,18.67,24.35,32.97,52.67,1.25,1,metal_rack,protected,0
9.57,228.18,25.97,24.09,30.64,51.3,0.27,1,cardboard_pallet,protected,0
15.55,234.66,23.8,25.23,29.17,38.57,0.42,2,metal_rack,unprotected,0
1.73,235.63,14.92,21.01,21.78,39.77,0.09,6,metal_rack,protected,1
11.67,240.59,17.8,21.54,20.0,33.4,3.52,1,cardboard_pallet,unprotected,0
6.75,237.11,18.3,25.72,28.18,57.02,0.14,3,plastic_box,unprotected,0
16.79,226.85,19.46,26.21,23.8,53.29,0.54,4,plastic_box,unprotected,0
5.47,240.39,23.63,19.99,29.98,33.73,7.31,3,cardboard_pallet,protected,0
17.27,239.63,19.02,24.42,28.36,52.9,3.02,2,plastic_box,unprotected,1
16.44,242.35,14.05,20.32,28.41,51.31,1.28,2,plastic_box,unprotected,0
17.91,222.19,12.86,24.57,28.99,46.49,5.07,1,plastic_box,protected,0
4.83,238.42,15.49,22.53,32.94,52.68,4.63,5,cardboard_pallet,protected,0
5.69,241.02,18.96,24.6,36.57,42.8,1.48,3,plastic_box,protected,1
5.24,235.97,9.48,25.39,22.51,61.53,0.41,4,cardboard_pallet,unprotected,0
16.76,239.27,15.56,28.04,30.17,57.3,5.75,2,plastic_box,protected,0
19.56,236.41,19.47,20.68,29.81,56.18,2.12,3,cardboard_pallet,protected,0
21.42,236.04,14.31,23.14,29.19,58.65,2.32,1,metal_rack,protected,0
8.63,227.56,12.79,26.73,31.42,52.31,0.46,4,metal_rack,protected,0
12.64,222.7,16.12,22.1,31.67,46.91,12.77,7,metal_rack,unprotected,0
15.02,227.78,17.98,23.25,29.06,52.54,0.0,2,metal_rack,protected,0
4.68,238.65,18.71,21.69,22.1,51.66,6.34,3,metal_rack,unprotected,0
8.03,230.88,22.02,27.79,26.46,40.96,1.0,1,metal_rack,unprotected,0
30.61,245.39,19.02,26.85,34.68,45.01,3.59,6,metal_rack,unprotected,1
8.14,230.03,19.99,27.99,26.71,52.33,2.88,5,metal_rack,protected,0
8.25,235.17,24.59,23.38,29.9,55.22,1.88,8,plastic_box,protected,0
3.83,233.65,15.95,23.16,25.25,45.19,1.85,1,metal_rack,unprotected,0
4.8,236.96,21.23,27.49,36.25,55.7,11.11,5,metal_rack,unprotected,1
0.0,230.89,20.44,25.84,30.5,59.68,1.24,3,plastic_box,unprotected,0
12.53,234.08,9.68,22.62,34.53,48.9,5.04,2,plastic_box,protected,0
5.71,235.16,20.66,29.94,32.96,37.85,11.29,1,plastic_box,unprotected,0
8.05,240.73,17.67,23.05,29.26,49.97,6.77,2,metal_rack,protected,0
6.09,227.41,18.39,20.54,35.75,53.71,4.38,2,metal_rack,unprotected,0
9.97,231.25,18.83,19.56,24.25,68.13,0.81,2,cardboard_pallet,protected,1
15.61,237.28,22.21,24.27,35.13,56.58,5.83,1,metal_rack,protected,0
13.33,237.86,17.23,23.91,33.02,44.97,2.32,4,plastic_box,protected,0
10.83,236.78,16.34,23.54,29.23,49.38,3.85,5,plastic_box,unprotected,0
0.0,232.84,18.98,25.23,35.29,51.41,1.06,4,metal_rack,unprotected,0
6.72,241.1,14.89,27.59,25.0,69.83,2.83,3,cardboard_pallet,protected,1
10.55,231.66,18.21,22.61,35.06,40.15,0.0,1,metal_rack,protected,0
12.94,232.76,14.2,27.55,31.79,38.18,9.98,2,metal_rack,protected,0
12.87,242.89,18.41,26.85,34.94,51.62,3.02,1,cardboard_pallet,protected,0
6.22,237.05,20.07,23.39,24.61,57.74,0.59,1,plastic_box,protected,0
14.43,233.3,19.18,23.47,37.65,44.89,9.04,2,metal_rack,protected,0
15.66,243.11,22.56,26.52,26.57,58.25,1.11,1,plastic_box,protected,0
19.25,230.51,19.19,25.78,31.82,46.13,3.51,2,metal_rack,unprotected,1
29.03,229.98,17.17,24.61,38.02,36.31,0.95,3,cardboard_pallet,unprotected,1
12.43,232.55,21.41,29.07,32.6,34.89,2.37,1,metal_rack,protected,0
29.37,240.05,20.38,24.69,33.51,41.88,12.6,2,metal_rack,protected,1
23.21,241.9,14.47,22.88,29.25,33.84,2.27,1,cardboard_pallet,protected,0
13.66,225.99,22.65,26.79,30.39,55.51,0.0,4,metal_rack,unprotected,0
4.41,227.29,17.68,23.81,27.32,51.5,1.12,2,metal_rack,protected,0
17.37,237.02,14.98,20.22,21.03,42.42,3.34,4,cardboard_pallet,unprotected,1
1.09,250.23,16.62,28.02,29.55,55.16,0.0,1,plastic_box,protected,0
18.5,240.09,14.28,25.37,29.95,53.59,13.25,6,plastic_box,unprotected,1
11.46,233.55,16.42,26.19,30.01,33.42,5.73,1,cardboard_pallet,protected,0
0.0,230.44,16.78,26.76,30.96,43.31,7.72,8,metal_rack,protected,1
15.25,241.8,13.35,21.99,38.08,62.94,9.87,1,plastic_box,unprotected,0
6.58,230.87,15.69,22.58,33.28,59.78,4.21,4,plastic_box,protected,0
12.92,230.07,16.09,22.29,34.34,52.14,3.24,3,metal_rack,protected,0
8.45,234.57,16.67,28.51,33.96,48.08,1.82,2,plastic_box,unprotected,0
1.32,232.47,19.34,23.61,32.7,30.0,10.99,1,metal_rack,protected,1
12.15,235.58,18.88,21.59,34.07,57.36,2.96,2,metal_rack,unprotected,0
6.47,234.97,15.7,25.46,33.43,50.61,0.21,4,metal_rack,unprotected,0
11.37,235.86,12.74,24.57,20.0,55.66,1.98,6,plastic_box,protected,0
20.12,238.42,15.15,25.36,31.52,54.96,0.22,2,plastic_box,unprotected,0
10.1,242.69,18.61,24.92,20.0,57.4,1.91,1,metal_rack,unprotected,1
1.84,233.14,19.83,21.54,31.26,62.64,21.07,5,plastic_box,protected,0
11.27,237.01,21.22,25.82,27.25,43.54,0.8,3,plastic_box,protected,0
22.93,249.82,15.0,22.3,30.33,73.76,3.83,1,metal_rack,unprotected,0
13.17,237.21,11.36,26.13,21.85,40.97,7.98,3,plastic_box,protected,0
17.94,238.53,18.07,22.2,35.02,38.8,1.97,1,metal_rack,protected,0
9.73,241.08,14.68,23.24,31.76,59.43,5.06,2,plastic_box,protected,0
14.29,241.69,14.31,28.1,28.69,55.06,3.33,4,cardboard_pallet,protected,0
27.05,243.94,12.23,23.61,29.21,75.81,0.0,2,metal_rack,protected,0
7.5,224.43,14.3,23.1,28.97,56.01,0.97,2,metal_rack,protected,0
8.62,237.39,14.66,24.06,27.91,54.54,12.07,7,cardboard_pallet,unprotected,1
9.85,241.83,15.97,27.69,20.49,40.85,1.81,3,plastic_box,unprotected,0
4.87,239.95,23.24,24.5,28.96,52.02,0.65,3,metal_rack,unprotected,0
5.54,231.68,16.3,30.91,30.15,59.67,5.76,2,cardboard_pallet,unprotected,1
22.29,229.62,20.88,27.43,24.12,47.49,1.86,4,metal_rack,unprotected,0
3.65,246.24,19.33,26.51,30.27,44.54,2.53,2,cardboard_pallet,unprotected,1
10.51,234.65,15.38,23.64,32.17,58.08,3.39,2,metal_rack,protected,1
11.78,242.05,16.2,25.43,28.87,57.86,3.14,1,cardboard_pallet,protected,0
22.11,235.67,16.8,26.47,29.91,34.32,0.5,7,plastic_box,unprotected,0
14.66,233.24,14.04,25.29,26.06,35.88,12.45,3,metal_rack,unprotected,1
4.24,234.33,23.22,26.11,28.71,53.95,11.55,3,cardboard_pallet,protected,0
18.76,239.81,15.92,24.27,28.01,42.78,3.97,1,cardboard_pallet,unprotected,0
10.95,226.85,17.24,25.62,28.0,57.06,20.83,1,metal_rack,protected,0
1.55,238.5,17.87,25.01,27.68,43.79,2.16,1,metal_rack,protected,0
0.0,231.24,20.48,21.63,31.75,47.06,1.35,3,metal_rack,protected,0
5.41,241.06,14.77,25.45,34.04,54.57,2.53,2,metal_rack,protected,0
14.54,237.32,19.23,28.65,31.83,59.72,2.16,2,plastic_box,unprotected,0
9.53,240.06,18.16,26.53,33.54,56.52,24.86,2,metal_rack,protected,0
17.85,253.38,13.32,24.45,27.64,39.45,6.67,1,plastic_box,protected,0
3.72,234.28,18.05,26.19,29.0,56.49,4.25,7,metal_rack,protected,0
23.9,237.42,22.64,23.85,30.15,35.74,6.95,1,metal_rack,unprotected,0
13.63,233.28,14.96,28.11,24.81,40.64,3.09,2,metal_rack,protected,0
1.91,234.1,22.28,24.87,36.63,51.44,8.74,4,metal_rack,protected,0
6.13,220.53,18.61,28.17,31.81,46.61,10.88,4,plastic_box,protected,0
11.92,230.29,13.61,21.8,33.22,53.04,7.44,2,metal_rack,protected,0
7.78,221.6,19.68,25.05,31.65,58.25,6.55,2,plastic_box,unprotected,0
6.41,233.42,19.74,24.58,31.47,51.39,2.81,1,metal_rack,protected,0
