ph_final,viscosity_cp,conductivity_ms_cm,density_g_ml,turbidity_ntu,reaction_temp_c,reaction_time_min,active_conc_mg_ml,f1_active_reagent,f2_solvent_salts,f3_agitation_kinetics
7.641,195.711,11.21,1.241,22.611,45.678,28.422,124.318,0.9925,2.3837,-1.7179
7.348,88.951,5.758,1.181,15.076,43.598,34.047,74.052,-1.3861,0.0838,-0.3718
7.116,91.258,5.827,1.181,26.768,43.241,35.05,81.227,-0.827,-0.3372,-0.0367
6.662,153.233,5.74,1.222,19.641,42.219,27.556,120.893,0.8783,0.1876,-1.3514
7.028,111.816,5.397,1.184,27.31,45.828,36.012,83.83,-0.7517,-0.2647,0.5607
7.109,218.748,7.488,1.223,28.973,45.804,39.85,122.03,0.6574,0.6781,0.2079
6.799,180.962,6.088,1.226,25.243,44.06,28.049,127.724,1.5449,0.5901,-1.3021
7.394,196.679,8.546,1.209,45.125,49.568,41.21,99.923,0.1321,0.8487,1.6417
6.842,195.089,5.578,1.214,41.054,48.793,41.454,120.237,1.0087,-0.1529,1.8978
7.656,110.136,6.64,1.169,39.422,48.328,40.741,75.15,-1.6679,0.1656,1.508
6.853,179.263,7.181,1.217,19.784,43.516,25.187,121.891,0.8976,0.7184,-1.6697
7.996,49.725,8.902,1.174,10.477,41.013,29.155,65.669,-2.3692,0.9762,-1.0986
7.541,112.487,7.724,1.197,15.959,44.064,32.675,91.942,-0.5813,0.9823,-0.6728
6.235,143.613,2.907,1.199,10.593,42.952,24.028,103.597,0.5992,-0.9233,-1.7072
6.655,259.792,6.523,1.23,45.993,50.369,43.226,130.213,1.8004,0.1273,1.7794
7.626,176.79,8.746,1.215,31.06,45.524,38.037,110.376,0.1213,1.3114,0.2904
5.762,101.622,0.143,1.186,9.591,37.83,19.004,95.807,0.3665,-2.2209,-2.0981
7.109,136.534,6.894,1.197,28.614,42.994,30.751,96.168,-0.1623,0.1645,-0.3896
6.936,111.181,4.954,1.181,20.382,46.201,42.313,80.974,-1.0203,-0.5908,0.9117
7.385,150.574,8.581,1.205,36.63,48.002,35.742,104.797,-0.1447,0.9947,0.1211
7.648,130.948,7.32,1.182,38.497,49.535,44.746,84.219,-1.1699,0.444,2.1204
6.452,205.999,2.721,1.187,42.179,50.392,53.03,100.857,0.4603,-1.726,3.205
6.846,162.359,4.675,1.193,25.374,44.53,37.38,104.29,0.1018,-0.4055,0.3735
7.92,96.325,8.965,1.175,31.44,47.277,41.436,70.603,-1.8357,0.8268,1.1678
6.678,192.051,5.228,1.211,19.111,44.692,30.746,117.955,0.6373,-0.0676,-0.6552
6.484,196.46,4.701,1.212,30.283,44.219,37.036,115.187,1.086,-0.5906,0.1695
7.755,154.295,9.146,1.21,22.414,46.364,38.999,95.725,-0.2488,1.2744,-0.099
7.281,184.469,9.057,1.221,45.71,48.368,43.285,118.419,0.8308,1.066,1.1027
7.93,205.403,11.61,1.232,42.916,46.636,41.69,122.052,0.4886,1.9768,1.047
6.548,160.87,4.235,1.2,18.557,43.112,27.502,111.193,0.7381,-0.5277,-1.3494
7.518,166.605,8.91,1.217,38.677,47.954,42.426,104.365,0.0637,1.1548,0.7611
6.475,138.828,1.41,1.191,29.837,45.877,38.705,96.525,-0.0905,-1.754,0.9996
6.82,80.273,3.272,1.168,5.62,42.382,33.198,75.319,-1.4169,-0.7748,-0.6264
6.783,113.647,3.258,1.17,21.23,45.11,38.699,75.593,-1.077,-1.2537,0.7146
7.168,195.352,9.05,1.227,35.789,43.783,36.884,120.845,1.185,1.4127,-0.2623
7.541,163.829,9.94,1.211,23.337,44.889,34.335,115.402,0.3378,1.4811,-0.5354
7.087,176.806,7.436,1.209,19.544,44.196,30.183,110.128,0.4428,0.6225,-0.7477
7.397,218.247,9.993,1.235,31.733,46.152,38.817,131.903,1.3282,1.4988,-0.1673
6.658,85.693,3.34,1.176,11.318,40.815,28.853,87.304,-0.8824,-0.8885,-0.7727
6.251,122.676,1.75,1.173,12.295,42.614,28.231,89.999,-0.1433,-1.6057,-0.8314
6.204,143.701,2.104,1.193,8.129,40.605,23.19,102.434,0.3204,-1.0016,-2.1628
5.999,64.312,1.126,1.175,0.405,39.011,17.889,83.206,-0.4264,-1.6659,-2.3042
7.185,151.46,7.09,1.205,28.234,45.987,36.38,103.87,0.1896,0.3651,0.2098
7.181,204.707,8.238,1.223,37.121,46.782,36.95,114.753,0.8964,0.7893,0.4322
7.164,205.99,7.874,1.225,34.266,45.382,36.701,123.597,1.0705,0.9328,0.2997
6.74,160.999,4.163,1.196,21.09,44.045,29.116,97.28,0.4284,-0.689,-0.6975
6.437,151.538,4.028,1.202,20.758,42.897,33.152,103.845,0.6102,-0.7232,-0.8357
5.598,172.684,0.092,1.192,22.766,43.862,28.845,115.972,1.4031,-2.2324,-0.3455
6.686,159.162,4.289,1.188,24.529,46.479,39.22,98.247,-0.1472,-0.5012,0.3597
6.941,167.012,4.828,1.204,29.54,45.263,40.286,104.685,0.3031,0.0306,0.7634
6.582,200.755,5.641,1.216,19.4,44.812,32.66,117.155,0.9669,-0.1337,-0.3243
6.72,137.011,5.491,1.2,10.351,45.216,30.991,102.617,0.3724,-0.0925,-1.393
7.206,155.269,7.606,1.201,29.49,45.113,35.642,98.78,0.1316,0.3361,-0.4451
6.244,145.125,1.674,1.192,29.649,45.015,34.802,104.164,0.4811,-1.5083,0.6765
6.412,63.103,0.218,1.137,4.278,41.217,30.45,59.419,-2.0844,-2.4905,-0.2103
7.208,114.843,6.563,1.182,17.996,45.039,34.775,87.449,-0.8735,0.0232,0.192
7.092,142.989,5.747,1.19,19.1,44.75,37.151,96.41,-0.2919,-0.1792,-0.0927
7.445,96.685,7.531,1.177,15.845,43.474,31.72,78.41,-1.3672,0.2587,-0.5133
6.59,164.385,4.258,1.2,20.546,43.729,31.36,107.35,0.3554,-0.6714,-0.6032
6.571,158.288,3.846,1.195,26.335,43.988,33.299,98.441,0.3405,-0.6841,0.2477
7.675,123.304,6.897,1.168,26.418,46.184,37.942,67.068,-1.7098,0.0523,0.8188
5.641,180.856,0.092,1.199,18.229,43.305,30.157,117.141,1.3473,-2.3629,-0.4668
6.45,113.158,2.995,1.196,7.301,39.727,19.716,100.169,0.1822,-0.7833,-2.5294
6.565,174.12,5.288,1.229,15.116,40.896,27.69,121.555,1.2858,0.0997,-1.9461
7.13,117.434,7.098,1.193,23.347,46.794,33.08,91.319,-0.5603,0.2902,0.1174
7.607,96.026,7.783,1.192,19.99,42.605,29.207,85.886,-0.9893,0.7357,-0.8145
6.968,205.906,7.67,1.23,31.041,45.136,35.172,128.472,1.3624,0.7724,-0.2974
7.037,152.197,6.805,1.21,28.454,43.002,33.268,107.484,0.4336,0.5132,-0.9861
7.65,93.599,8.394,1.175,32.159,45.965,41.677,68.088,-1.9494,0.3025,1.0207
7.03,193.46,5.266,1.224,33.993,45.88,36.51,126.036,1.0329,0.1947,0.5514
7.594,203.57,10.077,1.226,27.391,47.13,42.847,121.038,0.6697,1.635,0.383
6.839,162.932,4.788,1.198,31.849,43.99,38.285,94.601,-0.0936,-0.4302,0.2358
6.92,201.116,6.356,1.217,41.534,49.81,47.566,123.59,1.5745,0.2488,1.3376
7.31,167.478,9.502,1.231,23.347,43.484,30.318,117.837,0.819,1.4483,-1.646
7.322,159.901,6.311,1.191,36.465,46.992,43.762,93.244,-0.3597,0.0549,1.4852
7.086,147.142,5.428,1.208,17.187,44.908,25.459,114.294,0.5538,0.2173,-0.6178
5.972,141.885,0.699,1.186,8.093,43.211,24.522,106.592,0.5817,-1.8034,-1.6228
6.365,186.165,3.791,1.215,35.432,46.974,38.89,111.48,1.2389,-0.8875,0.4592
8.222,163.471,11.776,1.233,26.585,46.044,37.883,104.514,-0.0796,2.6029,-0.4404
6.77,180.428,6.046,1.208,31.686,45.183,37.634,106.302,0.4666,0.0141,0.1754
6.282,210.388,3.669,1.21,27.929,44.773,33.128,122.391,1.0779,-0.5433,0.1751
7.558,171.412,8.668,1.212,27.669,46.143,37.861,106.277,0.0434,1.0432,0.2729
7.206,171.677,8.872,1.209,28.455,48.266,34.465,107.259,0.4055,0.6038,0.5317
7.254,134.784,6.542,1.19,25.688,46.548,44.297,83.596,-0.8804,0.1312,1.0345
6.857,124.732,4.298,1.208,17.786,43.878,30.979,109.696,0.2245,-0.2558,-0.4602
6.477,131.574,4.366,1.197,23.414,43.603,31.748,100.077,0.2976,-0.6848,-0.814
6.505,119.011,2.227,1.188,19.651,45.01,37.323,89.757,-0.1844,-1.5042,0.6133
7.432,161.983,9.332,1.217,29.838,45.078,35.052,109.925,0.4922,1.2572,-0.4182
7.353,121.801,5.695,1.188,25.792,45.786,40.292,73.004,-1.3527,-0.3261,0.9101
6.679,105.891,3.484,1.183,11.81,42.851,27.988,89.775,-0.5537,-0.8483,-0.8371
6.585,134.223,4.021,1.191,19.0,44.359,30.149,99.713,0.0077,-0.6672,-0.5485
7.554,232.643,12.707,1.257,33.399,46.604,28.496,150.809,2.0407,2.8475,-1.7553
7.778,100.554,9.359,1.188,30.238,46.438,38.156,76.975,-1.4965,0.9304,0.528
7.927,165.943,11.128,1.218,28.505,45.664,33.57,103.622,0.0809,1.7896,-0.8036
8.099,160.886,12.915,1.225,29.527,45.699,36.182,102.683,-0.2693,2.2766,-0.1955
7.25,160.522,7.489,1.212,29.036,46.433,42.065,98.593,0.0596,0.3865,1.1135
6.318,164.374,3.068,1.187,22.389,45.955,31.881,96.806,0.5465,-1.145,-0.0091
6.634,108.119,2.807,1.18,14.277,40.409,35.482,83.697,-0.4182,-1.2933,-0.4269
7.197,99.237,4.98,1.191,20.309,42.418,27.918,92.212,-0.5044,-0.0728,-0.9199
7.044,154.752,7.191,1.201,32.187,45.358,38.651,91.052,-0.1777,0.2432,0.3278
6.707,160.811,5.538,1.201,21.556,44.074,32.467,108.369,0.2914,-0.1506,-0.6773
7.259,156.711,8.264,1.211,30.404,44.559,32.803,111.125,0.5699,0.8805,-0.3096
7.034,148.392,5.462,1.197,38.809,46.334,38.298,96.12,-0.2041,-0.31,1.1798
7.045,212.912,7.93,1.227,31.143,45.875,33.159,130.128,1.2059,1.0815,-0.2102
7.428,139.327,9.196,1.22,24.684,44.221,37.084,109.913,0.2032,1.1313,-0.5323
6.479,198.816,6.33,1.232,18.172,44.243,29.162,139.156,1.8371,0.3754,-1.2711
7.481,152.885,7.214,1.198,27.212,47.491,41.499,89.067,-0.6127,0.4822,1.1879
6.852,266.441,7.69,1.253,34.434,47.308,34.392,152.231,2.7331,1.2187,0.0501
6.936,131.665,5.192,1.178,19.596,47.359,33.867,88.587,-0.6073,-0.1737,0.5759
7.503,164.709,9.117,1.217,41.299,47.097,38.961,111.31,0.3206,1.1773,0.5742
6.814,152.018,5.966,1.197,31.301,45.696,33.433,104.642,0.3025,-0.061,0.6235
6.639,57.425,1.804,1.147,3.912,42.971,32.997,58.663,-2.0536,-2.0921,-0.2022
7.392,129.398,6.293,1.182,29.973,47.099,40.79,84.872,-0.8425,0.148,0.7352
7.278,157.783,7.188,1.199,27.484,47.352,34.376,103.351,-0.3019,0.5913,-0.1335
7.124,199.444,7.609,1.221,42.616,46.927,42.367,114.072,1.009,0.4803,1.1647
6.74,102.866,2.478,1.165,27.305,43.496,37.596,67.918,-1.2347,-1.7471,0.8995
7.368,164.114,8.875,1.223,34.137,44.589,34.622,112.941,0.6371,1.3999,-0.6677
6.95,65.402,4.042,1.156,19.522,45.97,36.95,59.763,-2.1848,-1.3795,1.0618
6.802,256.556,5.619,1.235,38.351,47.953,43.764,129.539,1.7965,-0.0881,1.4455
6.191,231.71,4.844,1.221,30.541,44.867,34.218,131.248,1.8273,-0.3496,0.0104
7.465,156.422,7.852,1.208,18.216,43.715,33.475,102.531,0.0989,0.9016,-0.7996
7.01,168.624,6.515,1.213,28.072,47.111,36.137,101.666,0.3843,0.4189,0.1653
7.062,107.349,6.225,1.2,21.211,42.836,28.042,93.483,-0.4156,0.0618,-1.0272
7.733,159.56,9.954,1.215,26.051,48.184,38.86,109.039,-0.1144,1.5113,0.1276
6.309,71.039,0.879,1.174,13.729,42.382,26.767,78.138,-0.509,-1.8188,-0.7012
7.113,80.74,5.552,1.164,7.835,43.273,37.67,61.652,-1.7765,-0.5764,-0.4783
6.993,135.492,4.025,1.177,41.087,48.598,50.575,89.901,-0.6021,-0.891,2.3455
7.018,208.955,7.295,1.219,21.739,44.875,32.316,117.698,1.0104,0.6079,-0.5786
6.532,172.137,6.775,1.226,18.654,42.666,25.849,126.799,1.4894,0.4149,-2.0381
6.49,210.81,5.196,1.218,38.531,47.107,42.135,120.748,1.2504,-0.5846,1.1493
7.414,127.118,6.34,1.185,30.881,47.349,45.421,81.79,-0.8636,-0.0677,1.711
7.295,198.288,9.858,1.234,24.759,45.115,31.997,128.193,1.1699,1.5812,-0.5374
7.138,93.577,5.727,1.184,19.255,43.854,31.586,89.103,-0.6204,0.0092,-0.8238
7.287,180.429,7.825,1.218,33.249,46.431,34.657,107.946,0.417,0.9717,0.2212
6.845,162.38,4.439,1.188,23.042,46.695,37.531,91.869,-0.3543,-0.6256,0.4373
6.358,155.524,2.873,1.182,28.367,46.351,40.563,89.692,-0.3166,-1.4802,1.6029
7.239,211.588,7.076,1.22,34.309,45.173,41.18,124.7,0.9667,0.6388,0.7619
7.262,161.288,5.758,1.185,35.605,49.169,48.536,94.169,-0.4956,-0.1157,1.9407
6.781,123.318,5.017,1.19,22.594,44.892,34.156,91.297,-0.3324,-0.4417,0.2993
6.403,94.66,1.082,1.173,22.197,45.416,39.101,79.148,-0.6093,-1.8833,1.067
6.323,210.877,3.708,1.206,37.463,44.864,40.656,120.443,1.1109,-0.8886,0.7133
7.845,121.037,8.347,1.178,32.637,50.373,46.43,77.402,-1.3947,0.4545,2.0087
5.361,142.662,0.194,1.176,18.977,42.613,35.22,100.38,0.7997,-2.8187,-0.4148
6.212,185.126,3.656,1.214,20.844,44.645,26.218,123.733,1.4258,-0.8331,-0.6843
6.975,165.919,5.73,1.21,28.355,46.023,36.924,108.263,0.6143,0.3396,0.5687
6.353,152.461,3.021,1.199,16.281,43.496,33.79,110.359,0.6116,-1.0518,0.0098
6.687,220.555,6.034,1.226,31.327,46.505,35.015,130.662,1.7526,0.2364,-0.1659
7.21,76.983,7.359,1.185,11.666,42.932,27.937,75.082,-1.2009,0.1011,-0.5997
8.003,90.525,9.468,1.187,21.47,44.582,37.273,85.047,-1.2819,1.4292,0.1411
7.742,100.254,8.032,1.175,27.655,45.0,38.944,62.265,-2.0613,0.4725,0.784
6.941,105.243,4.541,1.177,9.013,40.834,25.843,83.269,-1.1231,-0.5874,-1.4486
8.071,146.335,7.973,1.184,35.593,49.556,45.928,74.618,-1.2389,0.9384,1.9196
7.002,168.238,6.444,1.201,37.354,45.832,37.228,103.394,0.3202,0.0658,-0.002
7.248,189.893,7.934,1.215,32.559,46.678,39.247,105.015,0.4193,0.8588,0.3932
7.526,170.041,8.112,1.208,27.333,45.575,33.14,105.052,-0.0805,0.9009,-0.1604
7.216,115.292,7.187,1.201,8.704,42.51,27.078,89.394,-0.57,0.6717,-1.4547
6.611,130.355,4.31,1.184,23.092,43.3,33.813,87.209,-0.2177,-0.8181,-0.0259
7.188,203.522,7.892,1.215,31.392,47.994,39.035,114.952,0.6273,0.5278,0.9481
7.683,151.759,9.008,1.187,37.879,47.572,36.157,84.577,-0.9711,0.7498,0.8701
6.505,203.07,4.253,1.214,34.644,45.82,42.152,128.725,1.4499,-0.5731,0.8709
7.266,186.729,8.443,1.227,28.344,47.033,34.899,115.543,0.6834,0.8134,0.31
6.404,182.258,4.464,1.217,21.461,44.764,30.309,122.187,1.3798,-0.5947,-0.9471
7.413,104.456,7.624,1.182,18.126,44.319,38.165,75.748,-1.2264,0.1733,0.0225
7.075,125.872,7.846,1.192,16.242,44.735,32.713,95.435,-0.2842,0.1591,-0.2276
7.283,77.356,5.694,1.176,17.776,43.717,34.253,74.231,-1.3887,0.1423,-0.326
6.614,77.316,3.324,1.181,10.317,42.818,25.18,85.25,-0.6756,-0.9245,-1.6033
7.462,145.254,8.239,1.193,22.687,45.705,35.875,83.302,-1.0961,0.614,0.4234
7.615,155.102,9.097,1.199,34.333,48.579,44.266,94.293,-0.5198,0.7199,1.4189
7.116,158.705,6.721,1.197,37.101,46.563,37.71,100.684,-0.3091,-0.119,0.521
7.484,193.916,8.383,1.205,39.529,48.356,43.028,95.172,-0.1565,1.0269,1.4602
7.202,227.824,8.821,1.229,38.395,48.574,44.916,128.14,1.4374,1.271,1.2494
6.53,155.12,3.018,1.189,26.135,42.501,35.018,94.003,-0.0818,-0.642,0.4276
6.508,177.67,4.384,1.193,37.309,45.064,38.097,93.669,0.0286,-0.9912,0.4828
7.247,193.318,8.125,1.205,26.374,47.53,37.95,104.294,0.0663,0.6177,0.934
7.342,156.169,7.584,1.203,30.283,45.756,37.489,98.162,-0.305,0.8767,0.3664
7.789,155.085,9.061,1.21,23.164,46.359,38.914,96.728,-0.3025,1.3115,-0.1104
7.079,98.489,5.416,1.184,12.599,44.009,37.704,81.787,-0.975,-0.3783,-0.1931
7.483,128.001,6.874,1.199,27.406,44.816,37.252,94.985,-0.4354,0.4146,0.4682
7.798,189.322,10.67,1.226,38.218,47.378,39.973,115.206,0.4079,1.8647,0.5861
6.771,139.031,2.472,1.178,33.879,46.771,48.178,79.479,-0.591,-1.8595,2.4291
7.511,161.042,6.192,1.198,38.244,48.664,45.565,91.089,-0.5448,0.2042,1.9742
6.441,205.159,4.444,1.214,38.131,45.107,39.318,130.273,1.7659,-0.5292,0.7172
6.948,87.506,3.545,1.169,22.589,44.677,37.417,70.091,-1.6597,-0.9402,0.1016
6.987,148.695,5.352,1.197,29.752,44.405,36.508,101.207,0.29,-0.3435,0.3596
6.96,144.205,4.521,1.211,16.07,44.02,24.683,104.985,0.2548,-0.2092,-1.1297
6.81,180.755,5.487,1.208,30.177,46.227,38.368,116.976,1.0088,-0.1387,0.4099
7.086,124.073,5.341,1.189,17.199,43.803,32.688,88.962,-0.5497,-0.1306,-0.6948
7.024,101.661,5.283,1.184,8.434,44.343,33.541,74.918,-0.96,-0.185,-1.0447
6.003,186.58,4.638,1.208,22.1,44.492,32.046,126.803,1.4375,-0.7063,-1.0139
7.082,85.175,4.295,1.179,21.954,44.973,36.412,70.568,-1.1692,-0.5424,0.3859
6.51,139.955,4.417,1.2,11.9,43.088,29.333,104.786,0.1025,-0.5882,-1.0091
7.447,132.939,8.374,1.208,20.602,45.379,28.83,104.505,-0.0499,1.0699,-0.921
7.715,90.898,8.519,1.192,15.112,43.353,36.035,75.591,-1.5263,0.8872,-0.6715
6.433,212.843,4.557,1.206,27.455,45.709,32.487,123.129,1.3503,-0.4606,-0.2355
7.25,224.576,8.347,1.228,44.992,49.32,43.589,124.781,1.3372,1.0084,1.0202
7.588,128.186,7.887,1.189,33.105,46.617,38.384,85.613,-0.8809,0.3334,1.0224
7.281,179.382,6.108,1.21,32.591,46.644,44.44,96.006,-0.0084,0.1703,1.6123
7.049,96.852,6.112,1.18,0.666,40.033,24.609,83.956,-1.1638,0.1768,-2.098
7.018,167.294,5.499,1.199,31.004,50.018,44.575,89.614,-0.3585,-0.521,1.9747
6.874,97.657,5.55,1.183,21.338,44.81,30.66,80.987,-0.8158,-0.4434,-0.3106
8.269,49.138,10.133,1.152,9.978,44.533,35.428,60.85,-3.3565,0.7984,-0.0534
7.158,195.087,5.262,1.202,30.339,47.722,45.114,99.941,0.0242,-0.0525,1.5676
6.32,186.884,3.16,1.207,26.069,43.656,24.194,116.448,1.2366,-0.7057,-1.0004
7.713,156.267,10.341,1.213,31.835,46.128,37.022,95.403,-0.3041,1.4204,0.188
6.851,161.968,7.692,1.217,20.424,45.024,35.402,120.913,0.8937,0.5765,-0.3472
7.995,110.996,10.05,1.184,24.5,45.338,38.613,67.949,-1.842,0.9425,0.64
7.008,136.299,5.539,1.19,25.08,44.396,33.239,84.522,-0.6816,-0.2591,0.0381
6.937,198.549,8.026,1.22,34.993,45.552,34.591,112.419,0.9562,0.6001,-0.0328
7.425,143.247,8.813,1.199,36.432,48.649,46.876,98.763,-0.5618,0.684,1.7488
7.674,174.035,10.602,1.219,21.662,44.204,33.011,114.876,0.5867,1.8109,-0.5104
5.465,215.036,1.068,1.217,24.073,44.339,28.591,137.526,2.404,-1.8352,-0.631
7.233,82.698,5.982,1.176,17.404,42.919,33.06,77.418,-1.1532,0.1412,-0.2999
6.922,221.521,4.529,1.211,36.248,46.956,42.087,113.877,0.7125,-0.3255,1.256
7.546,170.547,9.446,1.211,28.449,44.666,38.499,100.597,-0.0893,1.0542,0.5219
6.476,72.317,0.97,1.159,11.147,42.431,32.457,68.249,-1.6379,-1.9772,-0.1653
7.04,123.471,5.7,1.193,11.805,44.927,34.076,88.718,-0.4155,-0.1867,-0.1026
7.22,217.214,7.096,1.221,34.182,45.177,41.175,124.87,1.0061,0.5498,0.7079
7.26,238.923,9.262,1.253,38.965,46.727,34.381,148.981,2.2691,1.9707,-0.0727
7.723,162.813,8.507,1.194,48.999,50.638,52.272,85.88,-1.0058,0.5017,2.9879
6.047,271.399,3.805,1.252,34.005,45.997,32.463,152.565,3.1711,-0.27,-0.1107
7.175,51.101,5.473,1.17,6.564,40.576,28.665,63.34,-1.881,-0.3003,-1.3508
7.045,85.968,6.647,1.184,10.893,41.014,26.426,77.719,-0.8588,0.1334,-1.5226
7.646,187.076,9.514,1.226,36.833,48.155,39.308,109.948,0.3893,1.1784,1.1055
7.635,174.055,10.011,1.219,33.239,44.642,38.847,119.056,0.5648,1.4689,0.1662
7.178,228.046,8.344,1.233,40.905,47.339,39.803,130.263,1.6164,0.966,0.8852
6.854,146.757,7.07,1.208,29.587,44.081,30.952,102.975,0.1161,0.2073,-1.2957
7.374,191.293,8.122,1.206,35.867,47.34,39.468,108.703,0.1498,0.6521,0.7195
7.6,193.453,9.096,1.22,31.309,46.094,38.369,112.951,0.3013,1.2961,0.4165
6.522,183.718,4.259,1.198,27.589,47.257,38.079,97.321,0.4574,-0.6087,0.7524
6.857,160.265,4.892,1.193,28.263,47.291,34.412,96.515,0.0927,-0.2295,0.0199
7.486,178.117,9.241,1.212,29.949,47.402,42.434,105.848,-0.0932,1.2224,0.4605
6.796,173.022,6.168,1.211,30.289,45.806,38.742,111.563,0.6345,-0.1192,0.5202
5.817,227.087,2.514,1.221,26.592,43.491,32.59,140.546,2.4421,-0.8909,-0.931
6.293,179.74,2.801,1.216,33.059,46.971,38.353,113.629,0.9482,-0.9545,0.8411
6.247,208.842,4.0,1.218,26.828,42.977,33.159,127.107,1.6964,-0.5744,-0.1236
6.221,178.071,4.373,1.212,35.631,45.963,33.701,125.58,1.5668,-0.4683,-0.0322
6.967,150.506,5.952,1.212,23.26,43.189,33.502,112.108,0.3269,0.3005,-1.1058
7.303,179.266,8.119,1.214,22.183,46.865,38.466,104.664,0.3737,0.7416,0.7107
7.209,76.907,6.42,1.179,22.721,43.162,28.288,82.777,-1.2827,-0.2534,-0.445
