ct_norm_s1,ct_norm_s2,ct_norm_s3,ct_norm_s4,ct_norm_s5,ct_norm_s6,wip_norm,speed_norm,failure_prob,micro_stops_norm,operator_efficiency,action,reward,throughput_uph,episode,step
0.51,0.61,0.43,0.52,0.67,0.71,0.15,0.83,0.01,0.27,0.94,1,92.39,102.6,0,26
0.47,0.57,0.42,0.49,0.67,0.69,0.18,0.85,0.02,0.33,0.94,3,102.77,101.06,0,27
0.48,0.6,0.44,0.52,0.69,0.69,0.18,0.85,0.0,0.13,0.94,2,92.52,95.85,0,28
0.51,0.65,0.47,0.54,0.73,0.72,0.18,0.83,0.0,0.2,0.94,4,97.6,96.33,0,29
0.52,0.66,0.48,0.54,0.74,0.74,0.1,0.84,0.0,0.2,0.94,5,98.38,96.98,0,30
0.5,0.65,0.46,0.54,0.74,0.73,0.1,0.84,0.0,0.2,0.94,0,101.03,99.25,0,31
0.49,0.65,0.44,0.52,0.75,0.74,0.1,0.84,0.01,0.2,0.96,0,101.72,99.81,0,32
0.48,0.66,0.46,0.51,0.76,0.73,0.1,0.84,0.01,0.2,0.97,2,96.19,95.16,0,33
0.53,0.66,0.47,0.56,0.79,0.74,0.1,0.81,0.0,0.2,0.97,4,97.82,96.1,0,34
0.54,0.68,0.47,0.54,0.78,0.74,0.02,0.82,0.0,0.27,0.97,4,101.25,97.75,0,35
0.53,0.66,0.46,0.53,0.79,0.74,0.0,0.83,0.01,0.27,0.97,5,101.86,98.22,0,36
0.52,0.66,0.44,0.51,0.8,0.73,0.0,0.83,0.0,0.27,0.97,4,99.05,99.22,0,37
0.52,0.68,0.43,0.52,0.79,0.72,0.0,0.84,0.0,0.33,0.97,0,100.06,101.3,0,38
0.5,0.67,0.42,0.53,0.81,0.73,0.02,0.84,0.0,0.33,0.99,0,104.22,102.75,0,39
0.5,0.67,0.43,0.53,0.82,0.71,0.05,0.84,0.01,0.27,1.0,4,105.58,104.7,0,40
0.48,0.65,0.42,0.51,0.82,0.69,0.0,0.85,0.01,0.33,1.0,2,99.68,99.74,0,41
0.51,0.69,0.44,0.53,0.85,0.72,0.0,0.82,0.0,0.33,1.0,1,103.62,103.26,0,42
0.51,0.68,0.41,0.53,0.84,0.72,0.0,0.85,0.03,0.33,1.0,3,112.91,102.07,0,43
0.52,0.7,0.44,0.54,0.88,0.73,0.02,0.85,0.01,0.13,1.0,3,120.14,101.36,0,44
0.52,0.7,0.44,0.55,0.9,0.75,0.02,0.85,0.0,0.0,1.0,4,118.76,102.37,0,45
0.54,0.69,0.44,0.53,0.91,0.75,0.0,0.85,0.01,0.07,1.0,3,121.66,101.38,0,46
0.57,0.69,0.43,0.56,0.93,0.76,0.0,0.85,0.0,0.0,1.0,2,110.13,96.36,0,47
0.59,0.73,0.46,0.58,0.96,0.81,0.02,0.83,0.0,0.07,1.0,4,110.98,97.07,0,48
0.59,0.75,0.46,0.58,0.97,0.81,0.02,0.84,0.0,0.07,1.0,3,113.47,95.81,0,49
0.6,0.77,0.48,0.6,1.0,0.83,0.02,0.84,0.0,0.0,1.0,4,112.1,96.75,0,50
0.6,0.76,0.47,0.6,1.0,0.85,0.0,0.85,0.0,0.07,1.0,5,110.99,97.14,0,51
0.59,0.76,0.47,0.61,0.98,0.83,0.02,0.85,0.01,0.07,1.0,4,111.88,97.94,0,52
0.61,0.75,0.46,0.61,0.98,0.84,0.02,0.85,0.01,0.07,1.0,4,110.28,98.68,0,53
0.61,0.77,0.46,0.62,0.98,0.83,0.0,0.86,0.01,0.13,1.0,4,107.65,99.87,0,54
0.62,0.76,0.44,0.63,0.97,0.82,0.0,0.87,0.02,0.2,1.0,1,108.29,103.88,0,55
0.58,0.76,0.43,0.62,0.97,0.79,0.0,0.9,0.04,0.27,1.0,2,100.99,98.89,0,56
0.62,0.78,0.46,0.66,0.98,0.84,0.02,0.87,0.02,0.27,1.0,4,99.83,100.0,0,57
0.62,0.78,0.46,0.65,0.98,0.84,0.0,0.88,0.02,0.33,1.0,0,99.95,100.14,0,58
0.64,0.76,0.44,0.65,0.98,0.84,0.0,0.88,0.02,0.33,1.0,4,101.71,101.55,0,59
0.63,0.75,0.45,0.64,0.97,0.83,0.0,0.89,0.02,0.33,1.0,5,101.47,101.39,0,60
0.61,0.75,0.47,0.65,0.95,0.84,0.0,0.89,0.02,0.33,1.0,1,100.97,105.66,0,61
0.6,0.72,0.42,0.66,0.93,0.84,0.02,0.91,0.03,0.4,1.0,1,103.94,110.45,0,62
0.57,0.69,0.41,0.62,0.91,0.82,0.0,0.94,0.06,0.47,1.0,1,104.79,114.58,0,63
0.55,0.68,0.4,0.6,0.87,0.8,0.0,0.96,0.07,0.53,1.0,2,98.01,109.98,0,64
0.57,0.69,0.45,0.64,0.89,0.81,0.02,0.94,0.05,0.53,1.0,0,95.97,109.45,0,65
0.59,0.71,0.46,0.65,0.89,0.8,0.05,0.94,0.04,0.53,1.0,4,100.3,110.49,0,66
0.6,0.7,0.44,0.64,0.9,0.81,0.0,0.95,0.03,0.53,1.0,0,98.22,110.07,0,67
0.59,0.71,0.46,0.65,0.9,0.8,0.02,0.95,0.04,0.53,1.0,2,89.11,104.42,0,68
0.62,0.76,0.51,0.68,0.95,0.83,0.0,0.92,0.02,0.6,1.0,4,86.56,105.55,0,69
0.63,0.77,0.5,0.68,0.94,0.81,0.0,0.93,0.01,0.67,1.0,1,91.46,109.88,0,70
0.63,0.76,0.47,0.66,0.92,0.78,0.0,0.95,0.04,0.67,1.0,4,92.11,110.5,0,71
0.64,0.75,0.47,0.67,0.91,0.79,0.0,0.96,0.05,0.67,1.0,3,98.31,108.72,0,72
0.67,0.76,0.49,0.7,0.94,0.82,0.0,0.96,0.02,0.53,1.0,3,104.85,107.38,0,73
0.69,0.8,0.49,0.71,0.97,0.84,0.0,0.96,0.0,0.4,1.0,5,102.98,107.12,0,74
0.69,0.81,0.5,0.72,0.96,0.85,0.02,0.96,0.01,0.4,1.0,2,94.91,102.43,0,75
0.72,0.83,0.54,0.75,1.0,0.86,0.0,0.94,0.0,0.47,1.0,4,91.34,102.85,0,76
0.74,0.85,0.55,0.73,1.0,0.87,0.0,0.95,0.01,0.53,1.0,4,92.7,103.92,0,77
0.72,0.86,0.55,0.72,1.0,0.87,0.0,0.95,0.0,0.53,1.0,1,91.82,107.97,0,78
0.69,0.84,0.55,0.7,0.97,0.86,0.02,0.98,0.02,0.6,1.0,4,95.06,109.35,0,79
0.35,0.51,0.32,0.4,0.54,0.46,0.22,0.76,0.09,0.2,0.93,4,90.92,98.6,1,0
0.36,0.53,0.33,0.42,0.55,0.47,0.18,0.76,0.09,0.27,0.93,2,78.83,92.93,1,1
0.4,0.54,0.34,0.47,0.58,0.52,0.2,0.74,0.07,0.33,0.93,0,87.15,96.46,1,2
0.39,0.55,0.36,0.49,0.57,0.52,0.2,0.74,0.06,0.27,0.96,1,91.81,101.69,1,3
0.39,0.51,0.34,0.46,0.55,0.47,0.22,0.76,0.07,0.27,0.96,0,97.81,104.69,1,4
0.4,0.5,0.35,0.47,0.54,0.49,0.25,0.76,0.08,0.2,1.0,3,104.78,103.52,1,5
0.42,0.51,0.35,0.49,0.57,0.51,0.25,0.76,0.04,0.07,1.0,2,98.36,96.81,1,6
0.48,0.56,0.4,0.51,0.64,0.52,0.22,0.74,0.03,0.07,1.0,4,98.2,97.54,1,7
0.46,0.56,0.42,0.52,0.65,0.53,0.18,0.75,0.03,0.13,1.0,2,89.01,91.79,1,8
0.5,0.62,0.43,0.55,0.7,0.56,0.15,0.72,0.01,0.2,1.0,1,95.59,96.24,1,9
0.47,0.6,0.41,0.55,0.68,0.52,0.12,0.75,0.04,0.2,1.0,4,101.28,97.29,1,10
0.47,0.62,0.4,0.56,0.69,0.51,0.05,0.76,0.05,0.2,1.0,4,100.78,97.7,1,11
0.48,0.62,0.41,0.56,0.7,0.53,0.0,0.76,0.05,0.27,1.0,0,101.57,98.4,1,12
0.48,0.61,0.4,0.58,0.68,0.51,0.0,0.76,0.05,0.27,1.0,0,105.77,98.51,1,13
0.48,0.62,0.4,0.6,0.66,0.5,0.0,0.76,0.04,0.2,1.0,4,102.19,98.91,1,14
0.48,0.64,0.41,0.61,0.65,0.51,0.0,0.77,0.05,0.27,1.0,0,106.03,98.77,1,15
0.49,0.64,0.41,0.61,0.64,0.52,0.0,0.77,0.05,0.2,1.0,4,107.72,100.12,1,16
0.49,0.65,0.4,0.6,0.65,0.51,0.0,0.78,0.04,0.2,1.0,1,113.48,105.0,1,17
0.47,0.62,0.37,0.58,0.63,0.49,0.0,0.81,0.05,0.2,1.0,0,111.03,104.15,1,18
0.49,0.64,0.39,0.58,0.63,0.5,0.02,0.81,0.05,0.2,1.0,3,119.59,102.21,1,19
0.5,0.66,0.4,0.62,0.66,0.53,0.05,0.81,0.01,0.0,1.0,3,117.9,100.75,1,20
0.52,0.69,0.42,0.64,0.68,0.55,0.05,0.81,0.0,0.0,1.0,1,123.1,105.29,1,21
0.51,0.67,0.42,0.61,0.63,0.55,0.05,0.83,0.02,0.0,1.0,2,117.02,100.09,1,22
0.52,0.69,0.45,0.62,0.69,0.58,0.05,0.81,0.01,0.0,1.0,5,115.72,100.18,1,23
0.52,0.69,0.44,0.63,0.67,0.6,0.08,0.81,0.0,0.0,1.0,4,117.7,101.41,1,24
0.51,0.69,0.46,0.62,0.67,0.59,0.0,0.81,0.0,0.07,1.0,5,117.75,101.46,1,25
0.49,0.7,0.45,0.61,0.67,0.61,0.0,0.81,0.0,0.07,1.0,0,117.41,101.22,1,26
0.51,0.72,0.43,0.6,0.68,0.62,0.0,0.81,0.01,0.07,1.0,1,117.83,106.28,1,27
0.46,0.69,0.41,0.59,0.67,0.58,0.02,0.84,0.02,0.13,1.0,2,109.86,100.72,1,28
0.47,0.73,0.44,0.61,0.7,0.63,0.05,0.81,0.0,0.13,1.0,1,116.09,104.8,1,29
0.46,0.71,0.42,0.6,0.7,0.62,0.02,0.84,0.02,0.13,1.0,1,116.04,109.5,1,30
0.45,0.7,0.41,0.58,0.66,0.59,0.05,0.86,0.04,0.2,1.0,4,117.34,110.62,1,31
0.44,0.68,0.41,0.58,0.68,0.59,0.05,0.87,0.04,0.2,1.0,4,116.48,111.96,1,32
0.44,0.69,0.4,0.56,0.66,0.61,0.02,0.88,0.04,0.27,1.0,5,112.18,111.68,1,33
0.45,0.68,0.41,0.57,0.68,0.6,0.02,0.88,0.03,0.33,1.0,3,116.92,109.98,1,34
0.46,0.7,0.43,0.59,0.7,0.63,0.05,0.88,0.01,0.2,1.0,2,110.77,104.81,1,35
0.49,0.72,0.45,0.62,0.71,0.68,0.05,0.86,0.0,0.2,1.0,5,110.39,104.54,1,36
0.5,0.72,0.47,0.63,0.7,0.67,0.05,0.86,0.01,0.2,1.0,5,111.21,104.02,1,37
0.52,0.73,0.49,0.64,0.69,0.67,0.02,0.86,0.01,0.2,1.0,1,111.3,108.93,1,38
0.49,0.71,0.47,0.61,0.66,0.65,0.05,0.88,0.04,0.27,1.0,3,116.31,107.47,1,39
0.52,0.71,0.5,0.64,0.68,0.66,0.08,0.88,0.01,0.13,1.0,3,123.11,106.35,1,40
0.55,0.72,0.5,0.66,0.7,0.68,0.08,0.88,0.0,0.0,1.0,3,122.71,104.76,1,41
0.58,0.71,0.52,0.7,0.7,0.71,0.05,0.88,0.0,0.0,1.0,1,126.62,109.36,1,42
0.57,0.67,0.51,0.68,0.66,0.7,0.08,0.91,0.01,0.0,1.0,2,114.9,104.08,1,43
0.61,0.68,0.51,0.72,0.72,0.73,0.1,0.88,0.0,0.07,1.0,3,116.05,102.96,1,44
0.63,0.71,0.52,0.75,0.72,0.75,0.12,0.88,0.0,0.0,1.0,0,117.18,102.65,1,45
0.65,0.7,0.54,0.76,0.71,0.76,0.1,0.88,0.0,0.0,1.0,2,108.4,97.42,1,46
0.68,0.73,0.56,0.8,0.73,0.8,0.08,0.86,0.0,0.07,1.0,1,111.21,101.99,1,47
0.66,0.71,0.53,0.77,0.7,0.78,0.05,0.88,0.02,0.13,1.0,5,111.55,102.23,1,48
0.68,0.69,0.54,0.77,0.69,0.77,0.05,0.88,0.01,0.13,1.0,5,107.33,102.02,1,49
0.69,0.7,0.55,0.75,0.7,0.77,0.05,0.88,0.01,0.2,1.0,2,96.33,97.37,1,50
0.72,0.71,0.58,0.77,0.74,0.8,0.08,0.86,0.0,0.27,1.0,5,96.42,97.51,1,51
0.73,0.71,0.57,0.76,0.75,0.79,0.08,0.86,0.01,0.27,1.0,1,96.1,102.0,1,52
0.7,0.69,0.52,0.73,0.74,0.78,0.1,0.88,0.03,0.33,1.0,3,104.09,100.56,1,53
0.71,0.71,0.53,0.76,0.77,0.81,0.08,0.88,0.01,0.2,1.0,5,106.2,101.02,1,54
0.69,0.71,0.51,0.76,0.76,0.81,0.05,0.88,0.0,0.2,1.0,3,114.45,99.95,1,55
0.69,0.74,0.53,0.76,0.81,0.81,0.02,0.88,0.0,0.07,1.0,5,114.02,99.63,1,56
0.68,0.75,0.54,0.77,0.81,0.82,0.02,0.88,0.0,0.07,1.0,0,119.8,99.92,1,57
0.68,0.74,0.53,0.76,0.8,0.83,0.0,0.88,0.01,0.0,1.0,4,117.45,101.32,1,58
0.68,0.73,0.53,0.76,0.79,0.82,0.0,0.89,0.01,0.07,1.0,0,121.33,101.27,1,59
0.69,0.75,0.51,0.77,0.79,0.81,0.0,0.89,0.02,0.0,1.0,2,111.34,96.17,1,60
0.73,0.77,0.53,0.82,0.83,0.83,0.0,0.86,0.01,0.07,1.0,0,115.33,96.16,1,61
0.75,0.77,0.53,0.84,0.82,0.82,0.0,0.86,0.01,0.0,1.0,2,106.14,91.78,1,62
0.77,0.8,0.56,0.86,0.86,0.84,0.0,0.84,0.0,0.07,1.0,0,106.59,92.16,1,63
0.77,0.78,0.56,0.84,0.87,0.82,0.0,0.84,0.0,0.07,1.0,3,105.13,90.95,1,64
0.81,0.81,0.59,0.85,0.89,0.83,0.0,0.84,0.0,0.07,1.0,3,107.88,89.9,1,65
0.84,0.85,0.6,0.86,0.89,0.85,0.0,0.84,0.0,0.0,1.0,5,102.31,89.84,1,66
0.85,0.84,0.59,0.87,0.9,0.84,0.02,0.84,0.0,0.07,1.0,2,97.22,85.6,1,67
0.9,0.88,0.6,0.89,0.91,0.89,0.02,0.81,0.0,0.07,1.0,4,99.77,86.48,1,68
0.89,0.88,0.58,0.9,0.91,0.91,0.0,0.82,0.0,0.07,1.0,2,89.58,82.57,1,69
0.91,0.9,0.61,0.92,0.94,0.94,0.02,0.8,0.0,0.13,1.0,4,86.68,83.55,1,70
0.92,0.89,0.61,0.91,0.93,0.95,0.02,0.81,0.01,0.2,1.0,0,89.22,83.57,1,71
0.92,0.88,0.6,0.91,0.93,0.96,0.05,0.81,0.01,0.13,1.0,3,97.58,82.57,1,72
0.93,0.91,0.6,0.96,0.97,0.97,0.02,0.81,0.0,0.0,1.0,0,93.78,82.76,1,73
0.92,0.91,0.59,0.95,0.96,0.98,0.02,0.81,0.0,0.07,1.0,2,83.53,78.78,1,74
0.95,0.95,0.64,0.97,0.98,1.0,0.05,0.78,0.0,0.13,1.0,2,76.82,75.26,1,75
0.97,0.97,0.68,1.0,1.0,1.0,0.02,0.76,0.0,0.2,1.0,2,70.42,72.01,1,76
1.0,1.0,0.73,1.0,1.0,1.0,0.0,0.73,0.0,0.27,1.0,1,69.57,74.88,1,77
0.98,1.0,0.73,0.98,0.99,0.99,0.0,0.76,0.03,0.33,1.0,2,62.35,72.0,1,78
1.0,1.0,0.74,1.0,1.0,0.99,0.0,0.73,0.01,0.4,1.0,4,63.49,72.97,1,79
0.53,0.35,0.47,0.36,0.6,0.52,0.25,0.8,0.09,0.2,0.85,3,91.51,92.61,2,0
0.56,0.35,0.5,0.36,0.59,0.53,0.25,0.8,0.06,0.07,0.85,2,81.31,87.24,2,1
0.61,0.39,0.52,0.39,0.64,0.56,0.25,0.78,0.04,0.13,0.85,3,84.78,86.49,2,2
0.61,0.38,0.55,0.42,0.64,0.57,0.25,0.78,0.0,0.07,0.85,5,80.08,87.15,2,3
0.6,0.38,0.54,0.41,0.63,0.55,0.28,0.78,0.0,0.13,0.85,0,81.52,88.35,2,4
0.59,0.37,0.52,0.39,0.62,0.57,0.28,0.78,0.0,0.13,0.86,5,81.77,88.56,2,5
0.6,0.36,0.51,0.41,0.62,0.56,0.28,0.78,0.0,0.13,0.86,1,83.35,93.38,2,6
0.56,0.33,0.48,0.4,0.59,0.53,0.28,0.8,0.02,0.2,0.86,0,87.63,95.75,2,7
0.57,0.35,0.5,0.4,0.58,0.53,0.25,0.8,0.03,0.2,0.89,5,85.07,95.73,2,8
0.56,0.35,0.49,0.41,0.59,0.53,0.22,0.8,0.03,0.27,0.89,0,88.06,99.52,2,9
0.54,0.36,0.48,0.4,0.59,0.53,0.25,0.8,0.04,0.27,0.92,1,89.49,104.26,2,10
0.52,0.33,0.44,0.37,0.59,0.52,0.25,0.83,0.06,0.33,0.92,0,95.74,107.35,2,11
0.52,0.34,0.43,0.38,0.6,0.52,0.28,0.83,0.06,0.27,0.95,1,100.59,111.56,2,12
0.5,0.35,0.41,0.36,0.59,0.51,0.28,0.85,0.08,0.27,0.95,5,99.68,112.05,2,13
0.49,0.35,0.4,0.38,0.58,0.5,0.3,0.85,0.08,0.27,0.95,1,108.15,117.96,2,14
0.47,0.3,0.36,0.36,0.56,0.48,0.28,0.88,0.09,0.27,0.95,2,97.62,111.18,2,15
0.53,0.32,0.41,0.39,0.58,0.52,0.25,0.85,0.08,0.33,0.95,1,99.89,116.58,2,16
0.53,0.3,0.4,0.36,0.53,0.49,0.25,0.88,0.1,0.4,0.95,4,104.58,117.96,2,17
0.51,0.28,0.41,0.36,0.54,0.49,0.2,0.89,0.1,0.4,0.95,0,116.72,123.52,2,18
0.49,0.27,0.39,0.38,0.52,0.5,0.18,0.89,0.1,0.33,0.99,1,120.25,128.74,2,19
0.47,0.27,0.38,0.34,0.52,0.48,0.15,0.91,0.12,0.4,0.99,3,125.63,126.23,2,20
0.49,0.29,0.38,0.36,0.55,0.51,0.15,0.91,0.08,0.27,0.99,3,132.8,124.0,2,21
0.51,0.32,0.42,0.39,0.55,0.54,0.12,0.91,0.05,0.13,0.99,1,138.82,130.52,2,22
0.47,0.3,0.38,0.36,0.54,0.5,0.15,0.94,0.08,0.13,0.99,1,146.59,137.18,2,23
0.45,0.27,0.33,0.32,0.52,0.48,0.15,0.96,0.1,0.13,0.99,3,151.2,136.14,2,24
0.44,0.29,0.35,0.34,0.52,0.48,0.12,0.96,0.07,0.07,0.99,5,149.59,136.07,2,25
0.44,0.3,0.35,0.33,0.53,0.48,0.15,0.96,0.07,0.07,0.99,5,149.39,135.95,2,26
0.43,0.32,0.35,0.31,0.53,0.49,0.15,0.96,0.07,0.07,0.99,5,144.95,135.59,2,27
0.44,0.31,0.36,0.31,0.54,0.49,0.15,0.96,0.08,0.13,0.99,5,140.55,135.32,2,28
0.46,0.32,0.36,0.29,0.56,0.48,0.15,0.96,0.08,0.2,0.99,4,144.59,136.11,2,29
0.45,0.34,0.34,0.29,0.58,0.49,0.1,0.97,0.07,0.2,0.99,5,145.3,136.77,2,30
0.46,0.35,0.33,0.29,0.57,0.47,0.1,0.97,0.08,0.2,0.99,2,138.92,130.09,2,31
0.47,0.37,0.34,0.33,0.6,0.52,0.08,0.94,0.07,0.2,0.99,5,140.3,129.95,2,32
0.49,0.37,0.36,0.33,0.59,0.51,0.05,0.94,0.06,0.2,0.99,3,150.44,128.2,2,33
0.49,0.39,0.39,0.35,0.59,0.54,0.05,0.94,0.04,0.0,0.99,0,150.49,129.51,2,34
0.5,0.4,0.38,0.35,0.61,0.52,0.08,0.94,0.04,0.0,1.0,5,152.51,129.9,2,35
0.5,0.39,0.38,0.37,0.59,0.5,0.05,0.94,0.04,0.0,1.0,1,153.64,135.67,2,36
0.47,0.37,0.37,0.36,0.58,0.47,0.08,0.97,0.07,0.07,1.0,4,158.44,137.2,2,37
0.47,0.36,0.36,0.37,0.57,0.45,0.02,0.98,0.07,0.07,1.0,5,158.91,137.53,2,38
0.48,0.35,0.35,0.36,0.57,0.46,0.02,0.98,0.06,0.07,1.0,0,163.46,137.94,2,39
0.49,0.34,0.35,0.35,0.55,0.47,0.02,0.98,0.06,0.0,1.0,4,162.33,139.13,2,40
0.49,0.34,0.35,0.35,0.54,0.47,0.0,0.99,0.06,0.07,1.0,3,163.53,137.81,2,41
0.51,0.35,0.36,0.35,0.57,0.47,0.02,0.99,0.03,0.0,1.0,2,150.22,129.92,2,42
0.56,0.39,0.37,0.42,0.62,0.52,0.02,0.96,0.02,0.07,1.0,5,146.89,130.53,2,43
0.56,0.38,0.36,0.4,0.62,0.51,0.02,0.96,0.02,0.13,1.0,4,146.23,132.09,2,44
0.54,0.38,0.37,0.41,0.62,0.5,0.0,0.97,0.03,0.2,1.0,1,149.35,138.21,2,45
0.52,0.36,0.33,0.4,0.58,0.45,0.0,0.99,0.05,0.27,1.0,4,148.96,137.91,2,46
0.54,0.38,0.32,0.41,0.6,0.46,0.0,1.0,0.05,0.27,1.0,5,143.47,137.88,2,47
0.52,0.4,0.33,0.41,0.61,0.45,0.02,1.0,0.05,0.33,1.0,3,151.97,135.92,2,48
0.54,0.43,0.35,0.41,0.65,0.46,0.05,1.0,0.01,0.13,1.0,3,152.99,134.57,2,49
0.57,0.44,0.34,0.44,0.65,0.46,0.08,1.0,0.0,0.07,1.0,5,150.88,134.9,2,50
0.58,0.46,0.33,0.44,0.63,0.44,0.05,1.0,0.0,0.13,1.0,2,141.76,128.55,2,51
0.61,0.49,0.39,0.46,0.67,0.45,0.08,0.98,0.0,0.13,1.0,2,128.76,121.05,2,52
0.67,0.52,0.44,0.5,0.69,0.51,0.08,0.95,0.0,0.2,1.0,5,126.83,120.76,2,53
0.66,0.53,0.44,0.52,0.69,0.52,0.1,0.95,0.01,0.2,1.0,5,125.27,121.55,2,54
0.66,0.51,0.43,0.51,0.7,0.5,0.08,0.95,0.01,0.27,1.0,3,133.84,119.87,2,55
0.67,0.53,0.44,0.55,0.69,0.54,0.1,0.95,0.0,0.07,1.0,4,138.25,121.1,2,56
0.66,0.54,0.44,0.53,0.68,0.55,0.05,0.96,0.01,0.07,1.0,2,126.72,114.77,2,57
0.69,0.59,0.49,0.56,0.73,0.58,0.05,0.93,0.0,0.13,1.0,5,121.99,114.16,2,58
0.7,0.57,0.5,0.57,0.74,0.59,0.05,0.93,0.0,0.2,1.0,3,131.17,113.06,2,59
0.71,0.57,0.51,0.58,0.77,0.63,0.08,0.93,0.0,0.0,1.0,5,133.07,113.4,2,60
0.71,0.56,0.52,0.57,0.76,0.61,0.05,0.93,0.0,0.0,1.0,1,133.87,117.51,2,61
0.69,0.52,0.52,0.56,0.75,0.6,0.05,0.96,0.01,0.07,1.0,4,134.43,118.87,2,62
0.7,0.52,0.52,0.56,0.74,0.59,0.0,0.97,0.02,0.13,1.0,1,140.82,124.29,2,63
0.67,0.49,0.49,0.53,0.73,0.56,0.0,0.99,0.03,0.13,1.0,3,147.19,122.67,2,64
0.66,0.53,0.51,0.53,0.76,0.59,0.0,0.99,0.0,0.0,1.0,2,136.37,116.98,2,65
0.67,0.58,0.55,0.56,0.78,0.63,0.0,0.97,0.0,0.07,1.0,0,140.34,116.95,2,66
0.66,0.57,0.56,0.55,0.8,0.63,0.0,0.97,0.0,0.0,1.0,5,134.49,116.67,2,67
0.65,0.59,0.56,0.57,0.79,0.63,0.02,0.97,0.0,0.07,1.0,0,133.88,117.43,2,68
0.65,0.6,0.55,0.55,0.77,0.62,0.05,0.97,0.0,0.07,1.0,2,124.93,112.02,2,69
0.66,0.66,0.59,0.58,0.8,0.63,0.02,0.94,0.0,0.13,1.0,0,125.11,112.24,2,70
0.65,0.67,0.59,0.56,0.79,0.63,0.02,0.94,0.01,0.13,1.0,5,120.16,112.66,2,71
0.64,0.66,0.59,0.57,0.78,0.61,0.05,0.94,0.0,0.2,1.0,2,110.32,107.77,2,72
0.65,0.68,0.65,0.59,0.81,0.63,0.05,0.92,0.0,0.27,1.0,4,111.12,108.49,2,73
0.65,0.67,0.67,0.6,0.79,0.65,0.05,0.92,0.01,0.27,1.0,2,103.61,103.42,2,74
0.67,0.69,0.73,0.64,0.82,0.67,0.08,0.9,0.0,0.27,1.0,0,101.6,103.0,2,75
0.67,0.68,0.75,0.64,0.83,0.68,0.1,0.9,0.0,0.27,1.0,3,110.37,102.39,2,76
